,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9
0,0.008055712,0.0037621395,0.0035502473,0.95664454,0.003709984,0.004713614,0.0037701789,0.005573054,0.0041444227,0.0060761357
2,0.0010226882,0.0004776172,0.0004507469,0.6059031,0.00047099602,0.0005984546,0.15180236,0.0007075373,0.23779295,0.000771451
3,0.00078308256,0.00036579283,0.00034511375,0.45680383,0.5393388,0.00045820273,0.00036650198,0.0005417565,0.00040289064,0.0005906512
4,0.0009044511,0.00042254908,0.00039860228,0.0068007717,0.3070184,0.0005292187,0.00042331588,0.6823557,0.00046533393,0.0006821951
5,0.0011275483,0.599919,0.0004969238,0.26487076,0.0005200895,0.13040382,0.0005277074,0.0007800536,0.0005801159,0.00085046934
6,0.00041449058,0.0001936091,0.00018264614,0.14903517,0.00019094034,0.530004,0.31918758,0.00028750827,0.00021323725,0.00031284816
8,0.22952968,0.000584761,0.0005518259,0.59311104,0.0005766977,0.0007326661,0.1724586,0.00086623704,0.00064419495,0.000944447
9,0.0020021463,0.0009350327,0.0008823695,0.23433696,0.0009220701,0.0011715099,0.00093707704,0.7562728,0.0010300444,0.0015101475
10,0.0017680377,0.0008256813,0.00077917706,0.99048465,0.00081423466,0.0010345026,0.0008274457,0.0012231658,0.0009095815,0.0013335368
11,0.00053899805,0.00025175553,0.00023754775,0.39978132,0.00024826606,0.5366004,0.0002522934,0.00037286483,0.061221078,0.00040652347
12,0.00096368504,0.0004500399,0.00042479282,0.5341148,0.00044385655,0.0005639031,0.0004516695,0.0006667344,0.00049767346,0.4614105
13,0.70360667,0.0010961653,0.0010343771,0.28610894,0.0010809157,0.0013733193,0.0010985075,0.0016236864,0.0012074877,0.0017703385
14,0.00095321104,0.23723678,0.00042010235,0.7580779,0.00043899255,0.0005577825,0.00044611527,0.0006594557,0.00049039855,0.000718973
15,0.0011500765,0.0005371563,0.0005068523,0.5040351,0.0005296572,0.0006729408,0.0005382509,0.49055663,0.00059167994,0.0008674616
16,0.0008026758,0.00037489634,0.00035372938,0.006035522,0.00041468465,0.00046973125,0.000375651,0.0005555078,0.43008125,0.56058353
17,0.00123008,0.0005745048,0.00054206693,0.8038959,0.0005665983,0.0007197232,0.19006637,0.0008509745,0.0006328024,0.00092778716
18,0.0009220699,0.0004307328,0.109948695,0.35300136,0.00042470978,0.0005395217,0.00043153582,0.0006379041,0.53302157,0.0006954763
19,0.001468877,0.0006859572,0.0006474423,0.9920951,0.0006764478,0.00085941993,0.00068742305,0.0010161361,0.00075564085,0.0011078615
20,0.0006670161,0.00031156823,0.08065174,0.15464535,0.06946437,0.00039031988,0.0003121954,0.00046147412,0.69259626,0.0005031295
21,0.0014467965,0.00067577616,0.0006376537,0.010878864,0.0006663088,0.000846568,0.00067711977,0.001000914,0.98209995,0.0010913003
22,0.0019646774,0.00091753405,0.0008658565,0.5139347,0.00090481405,0.0011495856,0.23432685,0.0013591911,0.001010813,0.24356791
23,0.002284137,0.001066702,0.0010066758,0.9877071,0.0010519141,0.0013364793,0.0010690342,0.0015801615,0.0011751459,0.0017228032
24,0.0015536142,0.0007255613,0.0006846961,0.01168236,0.00071550265,0.0009090705,0.0007271118,0.0010748567,0.98078024,0.0011718356
25,0.3188704,0.00029173432,0.0002753048,0.67835873,0.00028774806,0.00036548005,0.00029253084,0.00043225565,0.00032143318,0.00047112606
26,0.0020724274,0.000967855,0.0009143726,0.9888464,0.00095443736,0.0012126571,0.0009699233,0.0014337342,0.001066561,0.0015631579
27,0.49990475,0.0009914493,0.0009356087,0.4907926,0.0009777047,0.0012422438,0.0009935681,0.0014686858,0.0010921938,0.0016012891
28,0.0010456378,0.00048826102,0.00046076105,0.007861248,0.0004814921,0.11291428,0.00048935274,0.00072331075,0.0005378748,0.87499434
29,0.0015442675,0.00071805326,0.00067760254,0.99174386,0.0007081344,0.00089964346,0.0007195788,0.0010703547,0.00079100725,0.0011596952
30,0.0007049476,0.00032925105,0.00031067707,0.67584926,0.00032663337,0.0004124682,0.00032997897,0.00048787615,0.0003630525,0.32086524
31,0.34384668,0.20580031,0.0006889707,0.4442326,0.00071998767,0.0009147368,0.0007316693,0.0010815582,0.00080429605,0.0011791515
32,0.0010796902,0.0005042258,0.00047582667,0.4259558,0.000497273,0.0006317859,0.56873685,0.0007469485,0.00055572373,0.00081441214
33,0.056145437,0.00011623159,0.0001096866,0.1110442,0.00011462599,0.00014562748,0.069895834,0.0001721828,0.66185427,0.10033999
34,0.15213776,0.00038016625,0.0003587743,0.45673716,0.00037554497,0.00047629914,0.0003809598,0.0005631323,0.00041877548,0.38816342
35,0.006316438,0.002949872,0.0027837288,0.9660052,0.0029089772,0.003695918,0.002956176,0.0043698,0.0032496182,0.004764263
36,0.0024514005,0.42911157,0.0010803769,0.55884016,0.0011289569,0.0014343639,0.0011473027,0.0016958935,0.0012612425,0.0018489824
37,0.1386298,0.00018031217,0.00017375611,0.2078001,0.00017783041,0.00022603269,0.0001807153,0.00026710154,0.00019879839,0.6522173
38,0.0012002446,0.0005605324,0.0005289897,0.009024937,0.0005528171,0.0007023232,0.0005618689,0.00083037367,0.9850832,0.0009053016
39,0.00217282,0.0010147399,0.0009575874,0.9883059,0.0010006722,0.0012713755,0.0010169082,0.0015031871,0.0011178509,0.0016388803
41,0.00081417244,0.00038021768,0.00035885,0.5057714,0.00037495603,0.00047639656,0.0003810302,0.28564277,0.20518114,0.0006140893
42,0.002638192,0.0012288532,0.29542384,0.6915747,0.0012118174,0.0015396399,0.0012315096,0.0018203646,0.001353721,0.0019846896
43,0.0014018522,0.0006546797,0.0006178076,0.35738313,0.00064562017,0.0008202655,0.0006560625,0.0009698359,0.0007212346,0.6361298
44,0.0019128199,0.0008933158,0.0008430023,0.38059643,0.00088093156,0.0011192425,0.6100041,0.0013233154,0.0009841106,0.0014427716
46,0.00037080134,0.00017316683,0.00016341369,0.18434347,0.19307229,0.04368357,0.41703293,0.16070308,0.00019076288,0.00027972017
48,0.001053465,0.0004919841,0.00046427443,0.007921192,0.0004851636,0.00061641075,0.0004930354,0.98713833,0.0005419762,0.000794591
49,0.00038226403,0.12173976,0.0001686373,0.3892151,0.00017612665,0.00022376444,0.000179142,0.00026456226,0.00019679916,0.48743838
53,0.0006279429,0.00029326705,0.00027672906,0.42767712,0.00028920895,0.56931376,0.00029387194,0.00043544406,0.00032306465,0.00047361298
54,0.0005269783,0.00024623182,0.00023224288,0.3887748,0.0002426922,0.56267905,0.00024669687,0.00036476762,0.0002717141,0.046417765
59,0.0011221024,0.0005240388,0.15088989,0.84355867,0.0005167739,0.00065657235,0.00052517164,0.00077628606,0.000577314,0.0008463617
60,0.3161594,0.0003495662,0.00032987783,0.68052465,0.00034472006,0.00043801314,0.00035031317,0.00051783497,0.00038508675,0.0005646446
61,0.001547107,0.00072252244,0.0006818283,0.99167436,0.00071252376,0.00090541487,0.00072410214,0.0010703817,0.0007959403,0.0011669275
62,0.564601,0.0003042046,0.00028730894,0.43261203,0.00030872197,0.0003810517,0.00030508768,0.000450647,0.00033924473,0.0004918113
65,0.0016704234,0.00078011304,0.00073617534,0.012560213,0.0007692981,0.0009774098,0.0007817801,0.0011556223,0.97930896,0.0012599407
66,0.0036290349,0.0016948143,0.0015993585,0.98046875,0.0016713187,0.0021234462,0.001698436,0.002510617,0.0018670299,0.0027372513
67,0.0007282005,0.0003400975,0.0003209434,0.055304002,0.0003354249,0.2875523,0.65399307,0.0005038718,0.00037463737,0.0005492724
68,0.33426568,0.00033799163,0.0003189719,0.0054418854,0.00033332268,0.00042347237,0.657464,0.00050070137,0.00037235278,0.0005459485
69,0.00056143774,0.00026221634,0.0002485991,0.004222619,0.0002585237,0.99305403,0.0002627117,0.00038833873,0.00028878957,0.00042340066
70,0.00092125294,0.0004299808,0.00040577396,0.99504554,0.0004240305,0.000538737,0.00043089964,0.00064696104,0.00047367255,0.00069445104
71,0.001084518,0.0005064872,0.00047794887,0.28180704,0.0004994533,0.71299314,0.00050758204,0.0007502799,0.00055795175,0.0008179943
72,0.0011820261,0.0005520313,0.000521077,0.37088147,0.0005443786,0.00069185946,0.62331045,0.00081774633,0.0006082056,0.00089156337
73,0.00063053303,0.00029447235,0.00027788742,0.63986343,0.0003477042,0.0003689449,0.00029513077,0.0004362138,0.00032438664,0.357288
74,0.0006993835,0.00032663884,0.42589557,0.57066905,0.00032210271,0.0004092443,0.00032737319,0.00048384327,0.00035982803,0.00052752806
76,0.001098555,0.0005132202,0.0004840765,0.32168737,0.0005058554,0.67304367,0.0005140499,0.0007598465,0.00056506274,0.0008284508
77,0.0013007674,0.00060747104,0.00057327194,0.89001215,0.0005990645,0.0007611203,0.0006087842,0.103887096,0.0006692132,0.000981111
78,0.0015934382,0.0007441966,0.00070228387,0.011981348,0.0007338801,0.0009323637,0.9801886,0.0011023997,0.0008198131,0.0012018735
80,0.00058217987,0.00027194733,0.00025781765,0.12512127,0.000268131,0.40972352,0.00027251488,0.00040278703,0.4626148,0.0004417402
81,0.00030350283,0.00014176145,0.00013513335,0.35588726,0.00014080617,0.00017775947,0.11577565,0.00020996749,0.086242095,0.44105178
83,0.0026132164,0.0012204116,0.0011516754,0.9859358,0.0012034927,0.0015290633,0.0012230196,0.0018078596,0.0013444216,0.0019710558
86,0.0009828504,0.00045901208,0.00043316014,0.994704,0.0004531484,0.00057508564,0.00046006107,0.00067995314,0.0005057662,0.0007413317
87,0.31313998,0.00033816302,0.42035893,0.263644,0.0003334296,0.0004236462,0.00033885628,0.0005008704,0.0003725411,0.0005460967
88,0.0013623319,0.00063617085,0.000600356,0.37516695,0.0006274301,0.61829674,0.00063754607,0.00094240886,0.00070082996,0.0010274791
89,0.0033409481,0.0015602735,0.0014723953,0.9820192,0.0015386429,0.001954879,0.0015636076,0.0023113147,0.0017188179,0.0025199577
91,0.0029476762,0.0013766094,0.0012990757,0.98413575,0.0013575251,0.0017247648,0.0013795511,0.0020392435,0.0015164912,0.0022233268
92,0.93652177,0.0024909645,0.0023506677,0.040105782,0.0024564315,0.003120949,0.0024962875,0.003689996,0.0027440796,0.0040230933
93,0.002079621,0.00097124005,0.00091654033,0.98880774,0.0009577762,0.0012168142,0.00097331544,0.0014387256,0.001069878,0.0015685955
94,0.9572067,0.0016792597,0.0015847216,0.027036969,0.0016560212,0.0021039578,0.0016828898,0.0024876168,0.0018499363,0.002712171
95,0.0008887212,0.00041513657,0.00039177292,0.36403546,0.0004095013,0.6317031,0.00041595154,0.00061519694,0.00045717295,0.0006703636
96,0.0010824456,0.0005054897,0.0004770385,0.9941744,0.000498482,0.00063357427,0.00050656364,0.0007489241,0.00055684726,0.0008164122
97,0.0011487388,0.00053646776,0.0005062542,0.993816,0.0005290309,0.00067227066,0.0005376672,0.000794685,0.00059100386,0.0008665252
98,0.81824845,0.00078463106,0.0007404799,0.17439002,0.00077379285,0.0009830607,0.0007863465,0.0011623352,0.0008643949,0.0012672526
99,0.00046582622,0.3556343,0.00020551462,0.22643213,0.00021485856,0.00027281,0.00021808628,0.00032232716,0.19187234,0.22440638
100,0.0011273551,0.00051958667,0.00049035024,0.99399143,0.0005123583,0.00065094593,0.0005206712,0.00076964666,0.0005723411,0.0008391089
101,0.0034730635,0.0016219732,0.00153062,0.98130816,0.0015994874,0.002032183,0.0016254393,0.0024027138,0.0017867873,0.0026196076
102,0.2186231,0.00046567133,0.00043943283,0.5303,0.0004592388,0.00058344036,0.00046666645,0.24739777,0.00051300006,0.0007520868
103,0.10421691,0.0004530596,0.00042754225,0.4725466,0.0004467899,0.00056765316,0.00045402776,0.41967982,0.00049909647,0.0007317362
104,0.0008117569,0.00037927154,0.0003577602,0.9956524,0.0003738565,0.00047498083,0.00037991288,0.00056161283,0.00041766212,0.00061227917
107,0.00073389104,0.00034277214,0.00032343442,0.335726,0.0003380885,0.00042952114,0.6606585,0.0005077203,0.0003775989,0.00055361557
108,0.0005042593,0.00023544507,0.00022218427,0.37311608,0.00023219851,0.00029499098,0.624404,0.00034879457,0.00025937523,0.00038026134
109,0.9621639,0.0014847349,0.0014011114,0.023904981,0.0014641518,0.0018602362,0.0014879078,0.0021994156,0.0016356037,0.0023979577
110,0.0011423898,0.0005335133,0.00050346466,0.9938464,0.0005261303,0.00066844304,0.00053466664,0.0007903212,0.0005877254,0.0008616638
111,0.0006509698,0.00030401276,0.00028689008,0.14190194,0.0002998057,0.0003809075,0.07233488,0.0004504252,0.0003349045,0.7830553
113,0.0008697822,0.00040620146,0.0003833233,0.45520964,0.00040058023,0.00050894305,0.00040706948,0.00060172746,0.00044884335,0.540766
114,0.0006854394,0.0003201185,0.00030208123,0.41570625,0.0003156728,0.00040106906,0.00032080256,0.5810711,0.00035264995,0.0005170024
117,0.64284515,0.000632917,0.00059729314,0.35121813,0.0006241427,0.00079298666,0.0006342695,0.00093757303,0.00069731585,0.0010222393
118,0.0028725083,0.0013415049,0.0012659483,0.021598903,0.0013229072,0.001680782,0.0013443716,0.9649287,0.0014778195,0.0021666302
120,0.053033743,8.082995e-05,0.04866398,0.12229505,0.17533608,0.14793256,0.062154315,0.00011973764,0.39025143,0.0001305469
121,0.41670287,0.00032810713,0.00030974508,0.11846862,0.0003235585,0.0004111448,0.00032884075,0.0004860666,0.00036144716,0.46226618
123,0.00042710945,0.00019948401,0.39500022,0.0032115,0.00019669905,0.6000194,0.00019989052,0.00029547687,0.0002197325,0.00032214966
124,0.002761926,0.9656579,0.0012172133,0.020767417,0.0012719795,0.0016160774,0.0012926176,0.001910739,0.0014209283,0.0020832221
126,0.0007152651,0.00033403965,0.1498952,0.0053782063,0.00032940877,0.0004185209,0.00033475348,0.0004948965,0.00036798252,0.84173155
127,0.0008835055,0.00040466306,0.00038180713,0.28562996,0.00039895443,0.00050688017,0.00040543755,0.71030945,0.000445702,0.0006534094
128,0.0006960486,0.00032506525,0.86683184,0.12977569,0.0003205588,0.00040727682,0.0003257599,0.00048153615,0.0003580962,0.0005250046
129,0.00018415367,8.600184e-05,8.191127e-05,0.24590963,8.484898e-05,0.00010881487,0.5460643,0.00012739697,9.473661e-05,0.20727687
130,0.0004752778,0.00022197841,0.76620954,0.0035737853,0.00021895069,0.15243255,0.00022243625,0.0003289246,0.0002445162,0.076072365
131,0.18490286,0.00019503321,0.8102914,0.0031404272,0.00019234388,0.00024435864,0.00019544999,0.0002889129,0.00021485117,0.00031499317
132,0.00037927023,0.00017712728,0.00016733533,0.28259563,0.0001746674,0.00022192745,0.070584126,0.00026238142,0.00019513846,0.64516
134,0.0013738634,0.00064159493,0.0006054289,0.56934184,0.000632669,0.00080392667,0.0006429342,0.4242214,0.00071838644,0.0010362199
135,0.0023092271,0.0010784441,0.0010177037,0.017363492,0.0010634933,0.0013511911,0.0010807486,0.9718058,0.0011880284,0.0017417675
136,0.0012134267,0.0005667167,0.0005347855,0.680118,0.0005588325,0.00071000867,0.00056789967,0.0008395076,0.00062427175,0.3142675
137,0.0012503833,0.0005839479,0.0005510731,0.75848234,0.00057591026,0.000731633,0.000585268,0.23565304,0.0006432848,0.0009431483
138,0.0009772223,0.00045640167,0.00043068736,0.2938181,0.00045018797,0.00057180657,0.00045737688,0.00067603606,0.00050276227,0.7016593
139,0.0017025437,0.0007951137,0.0007503311,0.9908369,0.0007840908,0.0009962042,0.00079681276,0.0011778434,0.0008759078,0.0012841678
140,0.0010077426,0.3624528,0.00044435688,0.2839554,0.3491078,0.0005897039,0.00047168334,0.0006971704,0.000519245,0.0007601042
141,0.0011665634,0.00054480677,0.0005141565,0.40556866,0.5887614,0.0006825893,0.000545971,0.000807206,0.000600165,0.000879902
142,0.00049920136,0.0002332509,0.00021988593,0.37794977,0.00023023404,0.0002919242,0.61961025,0.00034623893,0.00025669456,0.0003763138
143,0.00091295445,0.00042636355,0.00040237088,0.006864678,0.9886114,0.00053419423,0.00042727464,0.0006315946,0.00046969828,0.00068860885
144,0.0021433576,0.001000969,0.00094461686,0.9884646,0.000987117,0.0012541466,0.0010031327,0.0014828123,0.0011026807,0.0016166393
145,0.30850405,0.044213105,0.00020638817,0.25302225,0.00021400864,0.0002717361,0.00021901022,0.0003215591,0.00023963474,0.39280495
147,0.0015588109,0.0007279715,0.0006869705,0.99161,0.0007178794,0.0009121532,0.0007295271,0.0010783823,0.00080195203,0.0011757282
149,0.0022245285,0.0010388885,0.0009803759,0.9880274,0.0010244861,0.0013016316,0.0010411085,0.0015389598,0.0011444533,0.0016778823
