,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9
62,0.42852885,0.116500035,0.05948895,0.014793649,0.020158473,0.009200283,0.21591601,0.06037663,0.008657715,0.06637942
65,0.08481797,0.047803883,0.02741982,0.04200575,0.057238877,0.026123697,0.04709852,0.029940344,0.024583107,0.612968
66,0.51297796,0.0666713,0.03824198,0.05858474,0.07983013,0.036434293,0.06568754,0.041757308,0.034285657,0.065529145
67,0.03978392,0.02242244,0.5438107,0.019702824,0.02684793,0.012253336,0.02209159,0.014043536,0.27700543,0.02203832
68,0.042612024,0.024016377,0.013775549,0.16327663,0.6685358,0.013124384,0.023662006,0.015041844,0.012350401,0.02360495
69,0.03143794,0.12260996,0.37728295,0.015569512,0.12610705,0.009682798,0.017457157,0.011097445,0.11400312,0.1747521
70,0.113698624,0.024016377,0.013775549,0.23436323,0.24201627,0.013124384,0.23692182,0.015041844,0.012350401,0.09469155
71,0.15887383,0.03355866,0.019248907,0.02948833,0.04018209,0.018339017,0.03306349,0.02101833,0.61324364,0.032983765
72,0.25820485,0.03355866,0.31724197,0.02948833,0.13951312,0.018339017,0.03306349,0.02101833,0.017257512,0.13231479
73,0.1793679,0.365661,0.05948895,0.014793649,0.020158473,0.009200283,0.2657482,0.06037663,0.008657715,0.016547231
74,0.037307847,0.021026913,0.074298844,0.39190468,0.025176968,0.19820479,0.020716654,0.19988357,0.010813071,0.0206667
76,0.14451864,0.030526439,0.107865535,0.026823888,0.036551405,0.01668198,0.03007601,0.019119201,0.4674776,0.12035936
77,0.05954281,0.03355866,0.019248907,0.02948833,0.13951312,0.018339017,0.4303876,0.02101833,0.017257512,0.23164582
78,0.08481797,0.18929966,0.16891558,0.04200575,0.057238877,0.026123697,0.33009008,0.029940344,0.024583107,0.046984952
80,0.45565477,0.016036509,0.009198379,0.061558258,0.019201616,0.008763575,0.015799886,0.15244438,0.24558085,0.015761787
81,0.11896651,0.0709164,0.30156332,0.02755348,0.051086947,0.0039225766,0.0070720296,0.13197257,0.003691251,0.28325495
83,0.09879738,0.05568276,0.031939063,0.048929,0.5611227,0.030429317,0.054861143,0.03487501,0.02863481,0.054728854
86,0.042612024,0.09510298,0.013775549,0.09219003,0.31310287,0.013124384,0.023662006,0.015041844,0.012350401,0.37903795
87,0.26948756,0.019794917,0.011354162,0.0759854,0.19947605,0.010817455,0.019502835,0.012397875,0.06877093,0.31241286
88,0.05954281,0.5302138,0.019248907,0.02948833,0.04018209,0.018339017,0.03306349,0.02101833,0.21591954,0.032983765
89,0.3156361,0.0666713,0.03824198,0.25592658,0.07983013,0.036434293,0.06568754,0.041757308,0.034285657,0.065529145
91,0.09879738,0.05568276,0.031939063,0.048929,0.5611227,0.030429317,0.054861143,0.03487501,0.02863481,0.054728854
92,0.1473781,0.083063126,0.047644164,0.072988406,0.0994572,0.045392044,0.081837505,0.29788417,0.042715143,0.08164017
93,0.09879738,0.05568276,0.031939063,0.048929,0.066672795,0.030429317,0.054861143,0.5293249,0.02863481,0.054728854
94,0.11829424,0.0666713,0.03824198,0.45326844,0.07983013,0.036434293,0.06568754,0.041757308,0.034285657,0.065529145
95,0.04587298,0.025854267,0.014829745,0.022718405,0.5666434,0.014128748,0.101999395,0.016192945,0.08982216,0.10193797
96,0.1223996,0.10238089,0.014829745,0.022718405,0.33706358,0.24370861,0.101999395,0.016192945,0.013295535,0.025411356
97,0.054162763,0.12088232,0.19822142,0.11717977,0.39797494,0.01668198,0.03007601,0.019119201,0.015698195,0.030003488
98,0.5093053,0.047803883,0.16891558,0.04200575,0.057238877,0.026123697,0.04709852,0.029940344,0.024583107,0.046984952
99,0.20687059,0.04942659,0.0071593802,0.010967801,0.014945207,0.26543513,0.012297536,0.41421118,0.0064187073,0.012267883
100,0.21541089,0.11086501,0.01605866,0.19033752,0.033522453,0.015299574,0.027583664,0.017534826,0.014397313,0.35899013
101,0.51297796,0.0666713,0.03824198,0.05858474,0.07983013,0.036434293,0.06568754,0.041757308,0.034285657,0.065529145
102,0.1223996,0.025854267,0.014829745,0.022718405,0.33706358,0.014128748,0.25505263,0.16924618,0.013295535,0.025411356
103,0.04587298,0.025854267,0.014829745,0.022718405,0.4901168,0.014128748,0.17852601,0.09271956,0.08982216,0.025411356
104,0.24122065,0.0177186,0.0101632085,0.015569512,0.12610705,0.009682798,0.017457157,0.011097445,0.009111775,0.54187185
107,0.093713336,0.13697773,0.36290264,0.017393991,0.19947605,0.010817455,0.019502835,0.012397875,0.06877093,0.078047216
108,0.024906699,0.014037555,0.008051799,0.01233494,0.7231593,0.09077134,0.013830426,0.008791947,0.0072188005,0.09689722
