,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9
0,0.0068993913,0.007399115,0.011758336,0.0048606517,0.8678851,0.06859926,0.008617669,0.009849468,0.007254082,0.006876928
2,0.0005043503,0.0005408929,0.0008595425,0.00035540404,0.32327265,0.67208356,0.00062997005,0.0007200154,0.0005303033,0.0005027206
3,0.00037058146,0.0003983269,0.0006315752,0.0002610763,0.0021226732,0.7221875,0.0004630201,0.27281398,0.0003896418,0.00036937487
4,0.00046094353,0.0004943524,0.0007855889,0.98895234,0.0026401947,0.0045830687,0.0005757405,0.00065803604,0.00048464013,0.00045944273
5,0.0005865013,0.00062921294,0.0009995924,0.00041319276,0.12168619,0.0058315075,0.48388794,0.38482922,0.0006166527,0.0005845917
6,0.00015984885,0.00017143066,0.34343767,0.00011261422,0.42859992,0.06388202,0.00019966674,0.00022877695,0.048494626,0.11466151
8,0.0006508869,0.0006999396,0.0011092785,0.00045856874,0.0037281534,0.99028033,0.0008130049,0.00092919637,0.0006848937,0.0006487677
9,0.0011837174,0.0012694832,0.9725705,0.00083394867,0.0067801024,0.011769477,0.0014785487,0.0016898571,0.001244571,0.0011798632
10,0.0010128588,0.0010862203,0.0017261716,0.0007135635,0.25450224,0.7361737,0.001265109,0.0014462415,0.0010649287,0.001009561
11,0.00022379367,0.00023965225,0.0003808057,0.00015741147,0.38815424,0.122118734,0.17423667,0.31405863,0.00024185803,0.00022270826
12,0.00045838516,0.00049272703,0.00078665133,0.00032308124,0.36338437,0.15869252,0.00058908405,0.0006543838,0.00048195024,0.47421122
13,0.0014369352,0.0015410099,0.0024488817,0.0010123376,0.008230282,0.54412997,0.0017947565,0.002051332,0.4359226,0.0014322568
14,0.00047600808,0.0005104837,0.6283896,0.00033536847,0.23647627,0.004732619,0.0006127574,0.00067952025,0.1273531,0.0004744466
15,0.0005777667,0.00061966927,0.0009846429,0.50370455,0.124471076,0.36694214,0.00072165113,0.0008247846,0.0006075815,0.00057588564
16,0.00038611022,0.00042034982,0.0006584282,0.0002719996,0.0022114182,0.2794434,0.6343542,0.0005624183,0.08137596,0.00038497208
17,0.0006421026,0.00068932644,0.38924685,0.0004522843,0.0036770115,0.6023216,0.00080223056,0.0009167782,0.00067494606,0.0006402023
18,0.22879748,0.0004783255,0.00076003926,0.00031493828,0.0025544197,0.52729905,0.00055702374,0.23833396,0.00046888497,0.0004445287
19,0.0007883369,0.0008454362,0.0013435286,0.00055552286,0.0045154206,0.9882347,0.0009846705,0.0011254373,0.0008288839,0.0007857701
20,0.65284604,0.00032012427,0.0005087269,0.00021030448,0.0017097706,0.3430435,0.00037285266,0.00042615403,0.0003138494,0.00029774508
21,0.68704283,0.00082837255,0.0013157164,0.0005438898,0.0044219475,0.30220258,0.0009647055,0.0011022349,0.00081326644,0.00076961814
22,0.001124742,0.0012062625,0.24839401,0.0007923857,0.0064422754,0.73672616,0.0014048564,0.0016056647,0.0011825637,0.0011210799
23,0.0015228873,0.0016331901,0.0025953911,0.0010728808,0.008722764,0.97725755,0.001902159,0.002174051,0.0016011773,0.0015179289
24,0.0008494982,0.00091374916,0.0014479045,0.0005984752,0.14599954,0.3325412,0.0010616919,0.001213045,0.00089329557,0.51449716
25,0.08207861,0.00030208562,0.0004611777,0.00019072247,0.0015499319,0.42110124,0.4933621,0.000386815,0.00028457327,0.00027069484
26,0.0012457798,0.0013300132,0.002113596,0.00087414467,0.0071063577,0.9814796,0.001549052,0.0017704715,0.001303943,0.0012361484
