,,record_id,file_id,bitlink,custom_bitlink,date_created,title,long_url,clicks_for_all_time,clicks_for_date_range,status,date_range_start,date_range_end,created_start,created_end,start_end
http://penncobaltplus.com/32J7q5g,407,rid0407,fid0032,http://penncobaltplus.com/32J7q5g,http://penncobaltplus.com/connect-with-support,2022-01-28,Cobalt,https://www.penncobalt.com/connect-with-support?supportRoleId=CLINICIAN&immediateAccess=false&track=true&accountSourceId=PENN_KEY_SSO&utm_source=cobalt&utm_medium=therapist&utm_campaign=therapist,145,92,,2022-04-05,2022-06-03,67 days,126 days,59 days
http://penncobaltplus.com/32J7q5g,59,rid0059,fid0005,http://penncobaltplus.com/32J7q5g,http://penncobaltplus.com/connect-with-support,2022-01-28,Cobalt,https://www.penncobalt.com/connect-with-support?supportRoleId=CLINICIAN&immediateAccess=false&track=true&accountSourceId=PENN_KEY_SSO&utm_source=cobalt&utm_medium=therapist&utm_campaign=therapist,150,44,,2022-05-03,2022-06-09,95 days,132 days,37 days
http://penncobaltplus.com/32J7q5g,202,rid0202,fid0015,http://penncobaltplus.com/32J7q5g,http://penncobaltplus.com/connect-with-support,2022-01-28,Cobalt,https://www.penncobalt.com/connect-with-support?supportRoleId=CLINICIAN&immediateAccess=false&track=true&accountSourceId=PENN_KEY_SSO&utm_source=cobalt&utm_medium=therapist&utm_campaign=therapist,155,64,,2022-04-24,2022-06-22,86 days,145 days,59 days
http://penncobaltplus.com/32J7q5g,586,rid0586,fid0046,http://penncobaltplus.com/32J7q5g,http://penncobaltplus.com/connect-with-support,2022-01-28,Cobalt,https://www.penncobalt.com/connect-with-support?supportRoleId=CLINICIAN&immediateAccess=false&track=true&accountSourceId=PENN_KEY_SSO&utm_source=cobalt&utm_medium=therapist&utm_campaign=therapist,157,52,,2022-04-30,2022-06-28,92 days,151 days,59 days
http://penncobaltplus.com/32J7q5g,227,rid0227,fid0017,http://penncobaltplus.com/32J7q5g,http://penncobaltplus.com/connect-with-support,2022-01-28,Cobalt,https://www.penncobalt.com/connect-with-support?supportRoleId=CLINICIAN&immediateAccess=false&track=true&accountSourceId=PENN_KEY_SSO&utm_source=cobalt&utm_medium=therapist&utm_campaign=therapist,164,9,,2022-06-26,2022-07-11,149 days,164 days,15 days
http://penncobaltplus.com/32J7q5g,352,rid0352,fid0029,http://penncobaltplus.com/32J7q5g,http://penncobaltplus.com/connect-with-support,2022-01-28,Cobalt,https://www.penncobalt.com/connect-with-support?supportRoleId=CLINICIAN&immediateAccess=false&track=true&accountSourceId=PENN_KEY_SSO&utm_source=cobalt&utm_medium=therapist&utm_campaign=therapist,166,35,,2022-05-20,2022-07-18,112 days,171 days,59 days
http://penncobaltplus.com/32J7q5g,72,rid0072,fid0006,http://penncobaltplus.com/32J7q5g,http://penncobaltplus.com/connect-with-support,2022-01-28,Cobalt,https://www.penncobalt.com/connect-with-support?supportRoleId=CLINICIAN&immediateAccess=false&track=true&accountSourceId=PENN_KEY_SSO&utm_source=cobalt&utm_medium=therapist&utm_campaign=therapist,167,22,,2022-05-27,2022-07-25,119 days,178 days,59 days
http://penncobaltplus.com/32J7q5g,372,rid0372,fid0030,http://penncobaltplus.com/32J7q5g,http://penncobaltplus.com/connect-with-support,2022-01-28,Cobalt,https://www.penncobalt.com/connect-with-support?supportRoleId=CLINICIAN&immediateAccess=false&track=true&accountSourceId=PENN_KEY_SSO&utm_source=cobalt&utm_medium=therapist&utm_campaign=therapist,170,25,,2022-06-03,2022-08-01,126 days,185 days,59 days
http://penncobaltplus.com/32J7q5g,316,rid0316,fid0026,http://penncobaltplus.com/32J7q5g,http://penncobaltplus.com/connect-with-support,2022-01-28,Cobalt,https://www.penncobalt.com/connect-with-support?supportRoleId=CLINICIAN&immediateAccess=false&track=true&accountSourceId=PENN_KEY_SSO&utm_source=cobalt&utm_medium=therapist&utm_campaign=therapist,175,21,,2022-06-11,2022-08-09,134 days,193 days,59 days
http://penncobaltplus.com/32J7q5g,244,rid0244,fid0018,http://penncobaltplus.com/32J7q5g,http://penncobaltplus.com/connect-with-support,2022-01-28,Cobalt,https://www.penncobalt.com/connect-with-support?supportRoleId=CLINICIAN&immediateAccess=false&track=true&accountSourceId=PENN_KEY_SSO&utm_source=cobalt&utm_medium=therapist&utm_campaign=therapist,176,21,,2022-06-17,2022-08-15,140 days,199 days,59 days
http://penncobaltplus.com/32J7q5g,101,rid0101,fid0008,http://penncobaltplus.com/32J7q5g,http://penncobaltplus.com/connect-with-support,2022-01-28,Cobalt,https://www.penncobalt.com/connect-with-support?supportRoleId=CLINICIAN&immediateAccess=false&track=true&accountSourceId=PENN_KEY_SSO&utm_source=cobalt&utm_medium=therapist&utm_campaign=therapist,179,24,,2022-06-24,2022-08-22,147 days,206 days,59 days
http://penncobaltplus.com/32J7q5g,568,rid0568,fid0045,http://penncobaltplus.com/32J7q5g,http://penncobaltplus.com/connect-with-support,2022-01-28,Cobalt,https://www.penncobalt.com/connect-with-support?supportRoleId=CLINICIAN&immediateAccess=false&track=true&accountSourceId=PENN_KEY_SSO&utm_source=cobalt&utm_medium=therapist&utm_campaign=therapist,182,22,,2022-07-01,2022-08-29,154 days,213 days,59 days
http://penncobaltplus.com/32J7q5g,332,rid0332,fid0027,http://penncobaltplus.com/32J7q5g,http://penncobaltplus.com/connect-with-support,2022-01-28,Cobalt,https://www.penncobalt.com/connect-with-support?supportRoleId=CLINICIAN&immediateAccess=false&track=true&accountSourceId=PENN_KEY_SSO&utm_source=cobalt&utm_medium=therapist&utm_campaign=therapist,185,21,,2022-07-09,2022-09-06,162 days,221 days,59 days
http://penncobaltplus.com/32J7q5g,389,rid0389,fid0031,http://penncobaltplus.com/32J7q5g,http://penncobaltplus.com/connect-with-support,2022-01-28,Cobalt,https://www.penncobalt.com/connect-with-support?supportRoleId=CLINICIAN&immediateAccess=false&track=true&accountSourceId=PENN_KEY_SSO&utm_source=cobalt&utm_medium=therapist&utm_campaign=therapist,188,24,,2022-07-15,2022-09-12,168 days,227 days,59 days
http://penncobaltplus.com/32J7q5g,126,rid0126,fid0010,http://penncobaltplus.com/32J7q5g,http://penncobaltplus.com/connect-with-support,2022-01-28,Cobalt,https://www.penncobalt.com/connect-with-support?supportRoleId=CLINICIAN&immediateAccess=false&track=true&accountSourceId=PENN_KEY_SSO&utm_source=cobalt&utm_medium=therapist&utm_campaign=therapist,190,23,,2022-07-24,2022-09-21,177 days,236 days,59 days
http://penncobaltplus.com/32J7q5g,550,rid0550,fid0044,http://penncobaltplus.com/32J7q5g,http://penncobaltplus.com/connect-with-support,2022-01-28,Cobalt,https://www.penncobalt.com/connect-with-support?supportRoleId=CLINICIAN&immediateAccess=false&track=true&accountSourceId=PENN_KEY_SSO&utm_source=cobalt&utm_medium=therapist&utm_campaign=therapist,190,22,,2022-07-29,2022-09-26,182 days,241 days,59 days
http://penncobaltplus.com/32J7q5g,522,rid0522,fid0042,http://penncobaltplus.com/32J7q5g,http://penncobaltplus.com/connect-with-support,2022-01-28,Cobalt,https://www.penncobalt.com/connect-with-support?supportRoleId=CLINICIAN&immediateAccess=false&track=true&accountSourceId=PENN_KEY_SSO&utm_source=cobalt&utm_medium=therapist&utm_campaign=therapist,191,21,,2022-08-05,2022-10-03,189 days,248 days,59 days
http://penncobaltplus.com/32J7q5g,38,rid0038,fid0004,http://penncobaltplus.com/32J7q5g,http://penncobaltplus.com/connect-with-support,2022-01-28,Cobalt,https://www.penncobalt.com/connect-with-support?supportRoleId=CLINICIAN&immediateAccess=false&track=true&accountSourceId=PENN_KEY_SSO&utm_source=cobalt&utm_medium=therapist&utm_campaign=therapist,194,18,,2022-08-12,2022-10-10,196 days,255 days,59 days
http://penncobaltplus.com/32J7q5g,599,rid0599,fid0047,http://penncobaltplus.com/32J7q5g,http://penncobaltplus.com/connect-with-support,2022-01-28,Cobalt,https://www.penncobalt.com/connect-with-support?supportRoleId=CLINICIAN&immediateAccess=false&track=true&accountSourceId=PENN_KEY_SSO&utm_source=cobalt&utm_medium=therapist&utm_campaign=therapist,194,16,,2022-08-19,2022-10-17,203 days,262 days,59 days
http://penncobaltplus.com/32J7q5g,638,rid0638,fid0050,http://penncobaltplus.com/32J7q5g,http://penncobaltplus.com/connect-with-support,2022-01-28,Cobalt,https://www.penncobalt.com/connect-with-support?supportRoleId=CLINICIAN&immediateAccess=false&track=true&accountSourceId=PENN_KEY_SSO&utm_source=cobalt&utm_medium=therapist&utm_campaign=therapist,199,17,,2022-08-28,2022-10-26,212 days,271 days,59 days
http://penncobaltplus.com/32J7q5g,503,rid0503,fid0041,http://penncobaltplus.com/32J7q5g,http://penncobaltplus.com/connect-with-support,2022-01-28,Cobalt,https://www.penncobalt.com/connect-with-support?supportRoleId=CLINICIAN&immediateAccess=false&track=true&accountSourceId=PENN_KEY_SSO&utm_source=cobalt&utm_medium=therapist&utm_campaign=therapist,199,14,,2022-09-02,2022-10-31,217 days,276 days,59 days
http://penncobaltplus.com/32J7q5g,161,rid0161,fid0012,http://penncobaltplus.com/32J7q5g,http://penncobaltplus.com/connect-with-support,2022-01-28,Cobalt,https://www.penncobalt.com/connect-with-support?supportRoleId=CLINICIAN&immediateAccess=false&track=true&accountSourceId=PENN_KEY_SSO&utm_source=cobalt&utm_medium=therapist&utm_campaign=therapist,201,13,,2022-09-09,2022-11-07,224 days,283 days,59 days
http://penncobaltplus.com/32J7q5g,426,rid0426,fid0033,http://penncobaltplus.com/32J7q5g,http://penncobaltplus.com/connect-with-support,2022-01-28,Cobalt,https://www.penncobalt.com/connect-with-support?supportRoleId=CLINICIAN&immediateAccess=false&track=true&accountSourceId=PENN_KEY_SSO&utm_source=cobalt&utm_medium=therapist&utm_campaign=therapist,201,11,,2022-09-16,2022-11-14,231 days,290 days,59 days
http://penncobaltplus.com/32J7q5g,459,rid0459,fid0037,http://penncobaltplus.com/32J7q5g,http://penncobaltplus.com/connect-with-support,2022-01-28,Cobalt,https://www.penncobalt.com/connect-with-support?supportRoleId=CLINICIAN&immediateAccess=false&track=true&accountSourceId=PENN_KEY_SSO&utm_source=cobalt&utm_medium=therapist&utm_campaign=therapist,202,12,,2022-09-23,2022-11-21,238 days,297 days,59 days
http://penncobaltplus.com/32J7q5g,273,rid0273,fid0020,http://penncobaltplus.com/32J7q5g,http://penncobaltplus.com/connect-with-support,2022-01-28,Cobalt,https://www.penncobalt.com/connect-with-support?supportRoleId=CLINICIAN&immediateAccess=false&track=true&accountSourceId=PENN_KEY_SSO&utm_source=cobalt&utm_medium=therapist&utm_campaign=therapist,203,12,,2022-09-30,2022-11-28,245 days,304 days,59 days
http://penncobaltplus.com/32J7q5g,543,rid0543,fid0043,http://penncobaltplus.com/32J7q5g,http://penncobaltplus.com/connect-with-support,2022-01-28,Cobalt,https://www.penncobalt.com/connect-with-support?supportRoleId=CLINICIAN&immediateAccess=false&track=true&accountSourceId=PENN_KEY_SSO&utm_source=cobalt&utm_medium=therapist&utm_campaign=therapist,204,1,,2023-01-01,2023-01-09,338 days,346 days,8 days
http://penncobaltplus.com/34eQu6Y,291,rid0291,fid0022,http://penncobaltplus.com/34eQu6Y,http://penncobaltplus.com/connect-with-peer,2022-01-28,Cobalt,https://www.penncobalt.com/connect-with-support?supportRoleId=COACH&immediateAccess=false&track=true&accountSourceId=PENN_KEY_SSO&utm_source=cobalt&utm_medium=coach&utm_campaign=coach,61,61,,2021-12-31,2022-02-28,-28 days,31 days,59 days
http://penncobaltplus.com/34eQu6Y,257,rid0257,fid0019,http://penncobaltplus.com/34eQu6Y,http://penncobaltplus.com/connect-with-peer,2022-01-28,Cobalt,https://www.penncobalt.com/connect-with-support?supportRoleId=COACH&immediateAccess=false&track=true&accountSourceId=PENN_KEY_SSO&utm_source=cobalt&utm_medium=coach&utm_campaign=coach,71,71,,2022-01-07,2022-03-07,-21 days,38 days,59 days
http://penncobaltplus.com/34eQu6Y,212,rid0212,fid0016,http://penncobaltplus.com/34eQu6Y,http://penncobaltplus.com/connect-with-peer,2022-01-28,Cobalt,https://www.penncobalt.com/connect-with-support?supportRoleId=COACH&immediateAccess=false&track=true&accountSourceId=PENN_KEY_SSO&utm_source=cobalt&utm_medium=coach&utm_campaign=coach,97,97,,2022-01-14,2022-03-14,-14 days,45 days,59 days
http://penncobaltplus.com/34eQu6Y,489,rid0489,fid0040,http://penncobaltplus.com/34eQu6Y,http://penncobaltplus.com/connect-with-peer,2022-01-28,Cobalt,https://www.penncobalt.com/connect-with-support?supportRoleId=COACH&immediateAccess=false&track=true&accountSourceId=PENN_KEY_SSO&utm_source=cobalt&utm_medium=coach&utm_campaign=coach,102,102,,2022-01-21,2022-03-21,-7 days,52 days,59 days
http://penncobaltplus.com/34eQu6Y,478,rid0478,fid0039,http://penncobaltplus.com/34eQu6Y,http://penncobaltplus.com/connect-with-peer,2022-01-28,Cobalt,https://www.penncobalt.com/connect-with-support?supportRoleId=COACH&immediateAccess=false&track=true&accountSourceId=PENN_KEY_SSO&utm_source=cobalt&utm_medium=coach&utm_campaign=coach,102,102,,2022-01-21,2022-03-21,-7 days,52 days,59 days
http://penncobaltplus.com/34eQu6Y,87,rid0087,fid0007,http://penncobaltplus.com/34eQu6Y,http://penncobaltplus.com/connect-with-peer,2022-01-28,Cobalt,https://www.penncobalt.com/connect-with-support?supportRoleId=COACH&immediateAccess=false&track=true&accountSourceId=PENN_KEY_SSO&utm_source=cobalt&utm_medium=coach&utm_campaign=coach,103,103,,2022-01-28,2022-03-28,0 days,59 days,59 days
http://penncobaltplus.com/34eQu6Y,616,rid0616,fid0048,http://penncobaltplus.com/34eQu6Y,http://penncobaltplus.com/connect-with-peer,2022-01-28,Cobalt,https://www.penncobalt.com/connect-with-support?supportRoleId=COACH&immediateAccess=false&track=true&accountSourceId=PENN_KEY_SSO&utm_source=cobalt&utm_medium=coach&utm_campaign=coach,106,104,,2022-02-04,2022-04-04,7 days,66 days,59 days
http://penncobaltplus.com/34eQu6Y,284,rid0284,fid0021,http://penncobaltplus.com/34eQu6Y,http://penncobaltplus.com/connect-with-peer,2022-01-28,Cobalt,https://www.penncobalt.com/connect-with-support?supportRoleId=COACH&immediateAccess=false&track=true&accountSourceId=PENN_KEY_SSO&utm_source=cobalt&utm_medium=coach&utm_campaign=coach,120,14,,2022-04-03,2022-04-11,65 days,73 days,8 days
http://penncobaltplus.com/34eQu6Y,176,rid0176,fid0013,http://penncobaltplus.com/34eQu6Y,http://penncobaltplus.com/connect-with-peer,2022-01-28,Cobalt,https://www.penncobalt.com/connect-with-support?supportRoleId=COACH&immediateAccess=false&track=true&accountSourceId=PENN_KEY_SSO&utm_source=cobalt&utm_medium=coach&utm_campaign=coach,172,151,,2022-02-22,2022-04-22,25 days,84 days,59 days
http://penncobaltplus.com/34eQu6Y,623,rid0623,fid0049,http://penncobaltplus.com/34eQu6Y,http://penncobaltplus.com/connect-with-peer,2022-01-28,Cobalt,https://www.penncobalt.com/connect-with-support?supportRoleId=COACH&immediateAccess=false&track=true&accountSourceId=PENN_KEY_SSO&utm_source=cobalt&utm_medium=coach&utm_campaign=coach,183,138,,2022-02-25,2022-04-25,28 days,87 days,59 days
http://penncobaltplus.com/34eQu6Y,23,rid0023,fid0003,http://penncobaltplus.com/34eQu6Y,http://penncobaltplus.com/connect-with-peer,2022-01-28,Cobalt,https://www.penncobalt.com/connect-with-support?supportRoleId=COACH&immediateAccess=false&track=true&accountSourceId=PENN_KEY_SSO&utm_source=cobalt&utm_medium=coach&utm_campaign=coach,226,157,,2022-03-04,2022-05-02,35 days,94 days,59 days
http://penncobaltplus.com/34eQu6Y,3,rid0003,fid0001,http://penncobaltplus.com/34eQu6Y,http://penncobaltplus.com/connect-with-peer,2022-01-28,Cobalt,https://www.penncobalt.com/connect-with-support?supportRoleId=COACH&immediateAccess=false&track=true&accountSourceId=PENN_KEY_SSO&utm_source=cobalt&utm_medium=coach&utm_campaign=coach,251,158,,2022-03-11,2022-05-09,42 days,101 days,59 days
http://penncobaltplus.com/34eQu6Y,142,rid0142,fid0011,http://penncobaltplus.com/34eQu6Y,http://penncobaltplus.com/connect-with-peer,2022-01-28,Cobalt,https://www.penncobalt.com/connect-with-support?supportRoleId=COACH&immediateAccess=false&track=true&accountSourceId=PENN_KEY_SSO&utm_source=cobalt&utm_medium=coach&utm_campaign=coach,294,194,,2022-03-18,2022-05-16,49 days,108 days,59 days
http://penncobaltplus.com/34eQu6Y,186,rid0186,fid0014,http://penncobaltplus.com/34eQu6Y,http://penncobaltplus.com/connect-with-peer,2022-01-28,Cobalt,https://www.penncobalt.com/connect-with-support?supportRoleId=COACH&immediateAccess=false&track=true&accountSourceId=PENN_KEY_SSO&utm_source=cobalt&utm_medium=coach&utm_campaign=coach,313,64,,2022-05-08,2022-05-23,100 days,115 days,15 days
http://penncobaltplus.com/34eQu6Y,405,rid0405,fid0032,http://penncobaltplus.com/34eQu6Y,http://penncobaltplus.com/connect-with-peer,2022-01-28,Cobalt,https://www.penncobalt.com/connect-with-support?supportRoleId=COACH&immediateAccess=false&track=true&accountSourceId=PENN_KEY_SSO&utm_source=cobalt&utm_medium=coach&utm_campaign=coach,323,217,,2022-04-05,2022-06-03,67 days,126 days,59 days
http://penncobaltplus.com/34eQu6Y,55,rid0055,fid0005,http://penncobaltplus.com/34eQu6Y,http://penncobaltplus.com/connect-with-peer,2022-01-28,Cobalt,https://www.penncobalt.com/connect-with-support?supportRoleId=COACH&immediateAccess=false&track=true&accountSourceId=PENN_KEY_SSO&utm_source=cobalt&utm_medium=coach&utm_campaign=coach,329,103,,2022-05-03,2022-06-09,95 days,132 days,37 days
http://penncobaltplus.com/34eQu6Y,197,rid0197,fid0015,http://penncobaltplus.com/34eQu6Y,http://penncobaltplus.com/connect-with-peer,2022-01-28,Cobalt,https://www.penncobalt.com/connect-with-support?supportRoleId=COACH&immediateAccess=false&track=true&accountSourceId=PENN_KEY_SSO&utm_source=cobalt&utm_medium=coach&utm_campaign=coach,349,172,,2022-04-24,2022-06-22,86 days,145 days,59 days
http://penncobaltplus.com/34eQu6Y,581,rid0581,fid0046,http://penncobaltplus.com/34eQu6Y,http://penncobaltplus.com/connect-with-peer,2022-01-28,Cobalt,https://www.penncobalt.com/connect-with-support?supportRoleId=COACH&immediateAccess=false&track=true&accountSourceId=PENN_KEY_SSO&utm_source=cobalt&utm_medium=coach&utm_campaign=coach,363,148,,2022-04-30,2022-06-28,92 days,151 days,59 days
http://penncobaltplus.com/34eQu6Y,222,rid0222,fid0017,http://penncobaltplus.com/34eQu6Y,http://penncobaltplus.com/connect-with-peer,2022-01-28,Cobalt,https://www.penncobalt.com/connect-with-support?supportRoleId=COACH&immediateAccess=false&track=true&accountSourceId=PENN_KEY_SSO&utm_source=cobalt&utm_medium=coach&utm_campaign=coach,381,25,,2022-06-26,2022-07-11,149 days,164 days,15 days
http://penncobaltplus.com/34eQu6Y,350,rid0350,fid0029,http://penncobaltplus.com/34eQu6Y,http://penncobaltplus.com/connect-with-peer,2022-01-28,Cobalt,https://www.penncobalt.com/connect-with-support?supportRoleId=COACH&immediateAccess=false&track=true&accountSourceId=PENN_KEY_SSO&utm_source=cobalt&utm_medium=coach&utm_campaign=coach,387,80,,2022-05-20,2022-07-18,112 days,171 days,59 days
http://penncobaltplus.com/34eQu6Y,69,rid0069,fid0006,http://penncobaltplus.com/34eQu6Y,http://penncobaltplus.com/connect-with-peer,2022-01-28,Cobalt,https://www.penncobalt.com/connect-with-support?supportRoleId=COACH&immediateAccess=false&track=true&accountSourceId=PENN_KEY_SSO&utm_source=cobalt&utm_medium=coach&utm_campaign=coach,391,70,,2022-05-27,2022-07-25,119 days,178 days,59 days
http://penncobaltplus.com/34eQu6Y,368,rid0368,fid0030,http://penncobaltplus.com/34eQu6Y,http://penncobaltplus.com/connect-with-peer,2022-01-28,Cobalt,https://www.penncobalt.com/connect-with-support?supportRoleId=COACH&immediateAccess=false&track=true&accountSourceId=PENN_KEY_SSO&utm_source=cobalt&utm_medium=coach&utm_campaign=coach,391,68,,2022-06-03,2022-08-01,126 days,185 days,59 days
http://penncobaltplus.com/34eQu6Y,311,rid0311,fid0026,http://penncobaltplus.com/34eQu6Y,http://penncobaltplus.com/connect-with-peer,2022-01-28,Cobalt,https://www.penncobalt.com/connect-with-support?supportRoleId=COACH&immediateAccess=false&track=true&accountSourceId=PENN_KEY_SSO&utm_source=cobalt&utm_medium=coach&utm_campaign=coach,398,68,,2022-06-11,2022-08-09,134 days,193 days,59 days
http://penncobaltplus.com/34eQu6Y,239,rid0239,fid0018,http://penncobaltplus.com/34eQu6Y,http://penncobaltplus.com/connect-with-peer,2022-01-28,Cobalt,https://www.penncobalt.com/connect-with-support?supportRoleId=COACH&immediateAccess=false&track=true&accountSourceId=PENN_KEY_SSO&utm_source=cobalt&utm_medium=coach&utm_campaign=coach,411,66,,2022-06-17,2022-08-15,140 days,199 days,59 days
http://penncobaltplus.com/34eQu6Y,97,rid0097,fid0008,http://penncobaltplus.com/34eQu6Y,http://penncobaltplus.com/connect-with-peer,2022-01-28,Cobalt,https://www.penncobalt.com/connect-with-support?supportRoleId=COACH&immediateAccess=false&track=true&accountSourceId=PENN_KEY_SSO&utm_source=cobalt&utm_medium=coach&utm_campaign=coach,414,61,,2022-06-24,2022-08-22,147 days,206 days,59 days
http://penncobaltplus.com/34eQu6Y,564,rid0564,fid0045,http://penncobaltplus.com/34eQu6Y,http://penncobaltplus.com/connect-with-peer,2022-01-28,Cobalt,https://www.penncobalt.com/connect-with-support?supportRoleId=COACH&immediateAccess=false&track=true&accountSourceId=PENN_KEY_SSO&utm_source=cobalt&utm_medium=coach&utm_campaign=coach,426,58,,2022-07-01,2022-08-29,154 days,213 days,59 days
