,title,long_url,date_created,date_range_start,date_range_end,created_start,created_end,start_end,clicks_for_all_time
https://penncobaltplus.com/3OTF9Mo,Cobalt,https://www.penncobalt.com/on-your-time/8e36d2bc-cb47-456f-b8d2-7936cef2056d?utm_source=cobalt&utm_medium=top&utm_campaign=may+2022,2022-05-02,2022-08-12,2022-10-10,102 days,161 days,59 days,31
https://penncobaltplus.com/3R6LWD9,Cobalt,https://www.penncobalt.com/on-your-time/f7a6f530-cc51-4fad-9d62-b75aafbc9f52?utm_source=cobalt&utm_medium=month6&utm_campaign=aug+31,2022-08-31,2022-09-30,2022-11-28,30 days,89 days,59 days,33
https://penncobaltplus.com/3GexGSC,Cobalt,https://www.penncobalt.com/connect-with-support?supportRoleId=PSYCHIATRIST&immediateAccess=false&track=true&accountSourceId=PENN_KEY_SSO&utm_source=cobalt&utm_medium=psych&utm_campaign=psych,2022-01-28,2023-01-01,2023-01-09,338 days,346 days,8 days,49
https://penncobaltplus.com/3G9GOYK,Cobalt,https://www.penncobalt.com/on-your-time/6ceb326f-37be-4958-901c-63ce4ea38d94?utm_source=cobalt&utm_medium=monthly&utm_campaign=jan+2022,2022-01-28,2023-02-06,2023-02-15,374 days,383 days,9 days,164
http://penncobaltplus.com/32J7q5g,Cobalt,https://www.penncobalt.com/connect-with-support?supportRoleId=CLINICIAN&immediateAccess=false&track=true&accountSourceId=PENN_KEY_SSO&utm_source=cobalt&utm_medium=therapist&utm_campaign=therapist,2022-01-28,2023-01-01,2023-01-09,338 days,346 days,8 days,204
https://penncobaltplus.com/3KSNu0T,Cobalt,https://www.penncobalt.com/in-the-studio?utm_source=cobalt&utm_medium=static&utm_campaign=studio,2022-01-28,2023-01-23,2023-02-01,360 days,369 days,9 days,240
https://penncobaltplus.com/3Hbgw9X,Cobalt,https://www.penncobalt.com/?utm_source=cobalt&utm_medium=homepage&utm_campaign=homepage,2022-01-28,2023-02-13,2023-02-20,381 days,388 days,7 days,244
https://penncobaltplus.com/3vLl4Ax,Box,https://upenn.box.com/s/mxlafo5echcubp30ru8kame54j0cc3h3?utm_source=visa+&utm_medium=clincard&utm_campaign=faq,2022-05-05,2023-02-20,2023-02-27,291 days,298 days,7 days,246
http://penncobaltplus.com/34eQu6Y,Cobalt,https://www.penncobalt.com/connect-with-support?supportRoleId=COACH&immediateAccess=false&track=true&accountSourceId=PENN_KEY_SSO&utm_source=cobalt&utm_medium=coach&utm_campaign=coach,2022-01-28,2023-02-13,2023-02-20,381 days,388 days,7 days,566
https://penncobaltplus.com/35r1wGN,,https://redcap.link/cobaltRCT?utm_source=redcap&utm_medium=screening&utm_campaign=survey,2022-01-28,2023-02-20,2023-02-27,388 days,395 days,7 days,918
