content_type_id,content_count,view_count,views_per_content
ARTICLE,14,30,2.142857142857143
INT_BLOG,2,2,1.0
PODCAST,39,413,10.58974358974359
VIDEO,7,16,2.2857142857142856
WORKSHEET,1,1,1.0
