content_type_id,content_count,view_count,views_per_content
ARTICLE,12,30,2.5
EXT_BLOG,1,4,4.0
INT_BLOG,7,8,1.1428571428571428
PODCAST,31,838,27.032258064516128
VIDEO,10,22,2.2
WORKSHEET,1,4,4.0
