content_type_id,content_count,view_count,views_per_content
ARTICLE,11,49,4.454545454545454
EXT_BLOG,1,1,1.0
INT_BLOG,1,1,1.0
PODCAST,33,514,15.575757575757576
VIDEO,7,24,3.4285714285714284
