Entity,,,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Group Sessions,Group Sessions,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views
Group,,,Aggregate,Aggregate,Account Type,Account Type,Account Type,Account Type,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Aggregate,Aggregate,Triage Level,Triage Level,Triage Level,Triage Level,Triage Level,Triage Level,Crisis Flag,Crisis Flag,Crisis Flag,Crisis Flag,Aggregate,Aggregate,Clinical Level,Clinical Level,Clinical Level,Clinical Level,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Aggregate,Aggregate,Aggregate,Aggregate,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type
Metric,,,Total,Total_Group_Pct,Anonymous,Anonymous_Group_Pct,Verified,Verified_Group_Pct,Anonymous,Anonymous_Group_Pct,Email_password,Email_password_Group_Pct,Penn_key_sso,Penn_key_sso_Group_Pct,Penn_mpm_sso,Penn_mpm_sso_Group_Pct,Penn_sso,Penn_sso_Group_Pct,Total,Total_Group_Pct,Mild,Mild_Group_Pct,Moderate,Moderate_Group_Pct,Severe,Severe_Group_Pct,No,No_Group_Pct,Yes,Yes_Group_Pct,Total,Total_Group_Pct,Clinical,Clinical_Group_Pct,Sub-clinical,Sub-clinical_Group_Pct,Care_manager,Care_manager_Group_Pct,Chaplain,Chaplain_Group_Pct,Clinician,Clinician_Group_Pct,Coach,Coach_Group_Pct,Other,Other_Group_Pct,Peer,Peer_Group_Pct,Psychiatrist,Psychiatrist_Group_Pct,Psychologist,Psychologist_Group_Pct,Undefined,Undefined_Group_Pct,Total,Total_Group_Pct,Total,Total_Group_Pct,App,App_Group_Pct,Article,Article_Group_Pct,Podcast,Podcast_Group_Pct,Video,Video_Group_Pct,Worksheet,Worksheet_Group_Pct
Year,Screening Session,Connect with Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,357.0,1.0,72.0,0.20168067226890757,285.0,0.7983193277310925,72.0,0.20168067226890757,0.0,0.0,134.0,0.3753501400560224,0.0,0.0,151.0,0.42296918767507,392.0,1.0,166.0,0.42346938775510207,191.0,0.4872448979591837,35.0,0.08928571428571429,346.0,0.8826530612244898,46.0,0.11734693877551021,797.0,1.0,480.0,0.6022584692597239,317.0,0.397741530740276,132.0,0.1656210790464241,6.0,0.0075282308657465494,337.0,0.4228356336260979,179.0,0.2245922208281054,0.0,0.0,0.0,0.0,143.0,0.1794228356336261,0.0,0.0,0.0,0.0,73.0,1.0,186.0,1.0,0.0,0.0,58.0,0.3118279569892473,56.0,0.3010752688172043,72.0,0.3870967741935484,0.0,0.0
2022,0,0,13879.0,1.0,9981.0,0.7191440305497514,3898.0,0.2808559694502486,9981.0,0.7191440305497514,0.0,0.0,2557.0,0.18423517544491677,0.0,0.0,1341.0,0.0966207940053318,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,5818.0,1.0,8272.0,1.0,2.0,0.00024177949709864604,1038.0,0.1254835589941973,5101.0,0.6166586073500967,2119.0,0.25616537717601545,12.0,0.0014506769825918763
2022,0,1,661.0,1.0,407.0,0.6157337367624811,254.0,0.3842662632375189,407.0,0.6157337367624811,0.0,0.0,184.0,0.2783661119515885,0.0,0.0,70.0,0.1059001512859304,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,814.0,1.0,449.0,0.5515970515970516,365.0,0.4484029484029484,167.0,0.20515970515970516,3.0,0.0036855036855036856,449.0,0.5515970515970516,180.0,0.22113022113022113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.018427518427518427,177.0,1.0,155.0,1.0,0.0,0.0,68.0,0.43870967741935485,53.0,0.3419354838709677,34.0,0.21935483870967742,0.0,0.0
2022,1,0,354.0,1.0,131.0,0.3700564971751412,223.0,0.6299435028248588,131.0,0.3700564971751412,0.0,0.0,175.0,0.4943502824858757,0.0,0.0,48.0,0.13559322033898305,405.0,1.0,195.0,0.48148148148148145,172.0,0.4246913580246914,38.0,0.09382716049382717,346.0,0.854320987654321,59.0,0.145679012345679,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,212.0,1.0,153.0,1.0,0.0,0.0,41.0,0.2679738562091503,58.0,0.3790849673202614,54.0,0.35294117647058826,0.0,0.0
2022,1,1,201.0,1.0,38.0,0.1890547263681592,163.0,0.8109452736318408,38.0,0.1890547263681592,0.0,0.0,119.0,0.5920398009950248,0.0,0.0,44.0,0.21890547263681592,244.0,1.0,104.0,0.4262295081967213,132.0,0.5409836065573771,8.0,0.03278688524590164,221.0,0.9057377049180327,23.0,0.0942622950819672,385.0,1.0,120.0,0.3116883116883117,265.0,0.6883116883116883,176.0,0.45714285714285713,1.0,0.0025974025974025974,117.0,0.3038961038961039,84.0,0.21818181818181817,1.0,0.0025974025974025974,0.0,0.0,3.0,0.007792207792207792,0.0,0.0,3.0,0.007792207792207792,188.0,1.0,136.0,1.0,0.0,0.0,35.0,0.25735294117647056,49.0,0.3602941176470588,47.0,0.34558823529411764,5.0,0.03676470588235294
2023,0,0,7142.0,1.0,2802.0,0.39232707924950994,4340.0,0.6076729207504901,2802.0,0.39232707924950994,0.0,0.0,1823.0,0.25525063007560905,0.0,0.0,2517.0,0.352422290674881,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,5306.0,1.0,3267.0,1.0,37.0,0.011325374961738598,808.0,0.2473217018671564,1454.0,0.4450566268748087,955.0,0.29231711049892867,13.0,0.003979185797367615
2023,0,1,541.0,1.0,208.0,0.3844731977818854,333.0,0.6155268022181146,208.0,0.3844731977818854,0.0,0.0,192.0,0.35489833641404805,0.0,0.0,141.0,0.26062846580406657,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,730.0,1.0,310.0,0.4246575342465753,420.0,0.5753424657534246,0.0,0.0,14.0,0.019178082191780823,310.0,0.4246575342465753,176.0,0.2410958904109589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,0.3150684931506849,308.0,1.0,141.0,1.0,28.0,0.19858156028368795,55.0,0.3900709219858156,24.0,0.1702127659574468,29.0,0.20567375886524822,5.0,0.03546099290780142
2023,1,0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,156.0,1.0,42.0,1.0,2.0,0.047619047619047616,11.0,0.2619047619047619,27.0,0.6428571428571429,2.0,0.047619047619047616,0.0,0.0
2023,1,1,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,57.0,1.0,8.0,0.14035087719298245,49.0,0.8596491228070176,0.0,0.0,1.0,0.017543859649122806,8.0,0.14035087719298245,16.0,0.2807017543859649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.5614035087719298,153.0,1.0,35.0,1.0,0.0,0.0,14.0,0.4,11.0,0.3142857142857143,10.0,0.2857142857142857,0.0,0.0
2024,0,0,1085.0,1.0,301.0,0.27741935483870966,784.0,0.7225806451612903,301.0,0.27741935483870966,0.0,0.0,344.0,0.3170506912442396,0.0,0.0,440.0,0.4055299539170507,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1475.0,1.0,379.0,1.0,2.0,0.005277044854881266,79.0,0.20844327176781002,105.0,0.2770448548812665,189.0,0.49868073878627966,4.0,0.010554089709762533
2024,0,1,103.0,1.0,5.0,0.04854368932038835,98.0,0.9514563106796117,5.0,0.04854368932038835,0.0,0.0,73.0,0.7087378640776699,0.0,0.0,25.0,0.24271844660194175,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,194.0,1.0,85.0,0.4381443298969072,109.0,0.5618556701030928,0.0,0.0,7.0,0.03608247422680412,85.0,0.4381443298969072,35.0,0.18041237113402062,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.04639175257731959,58.0,0.29896907216494845,55.0,1.0,37.0,1.0,0.0,0.0,12.0,0.32432432432432434,6.0,0.16216216216216217,19.0,0.5135135135135135,0.0,0.0
2024,1,0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,43.0,1.0,20.0,1.0,0.0,0.0,3.0,0.15,0.0,0.0,17.0,0.85,0.0,0.0
2024,1,1,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,8.0,1.0,3.0,0.375,5.0,0.625,0.0,0.0,1.0,0.125,3.0,0.375,1.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.375,56.0,1.0,6.0,1.0,2.0,0.3333333333333333,4.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
All Time,0,0,45337.0,1.0,31396.0,0.6925028122725367,13941.0,0.3074971877274632,31396.0,0.6925028122725367,1.0,2.2057039504157753e-05,6025.0,0.13289366301255046,88.0,0.0019410194763658823,7827.0,0.17264044819904273,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,13658.0,1.0,20221.0,1.0,41.0,0.0020275950744275753,4808.0,0.2377726126304337,9189.0,0.4544285643637802,5951.0,0.29429800702240244,232.0,0.011473220908956036
All Time,0,1,2272.0,1.0,1383.0,0.6087147887323944,889.0,0.3912852112676056,1383.0,0.6087147887323944,0.0,0.0,512.0,0.22535211267605634,0.0,0.0,377.0,0.16593309859154928,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2851.0,1.0,1627.0,0.5706769554542266,1224.0,0.4293230445457734,195.0,0.06839705366538057,38.0,0.013328656611715188,1543.0,0.5412136092599088,673.0,0.23605752367590319,1.0,0.00035075412136092597,5.0,0.00175377060680463,84.0,0.029463346194317782,9.0,0.003156787092248334,303.0,0.10627849877236058,620.0,1.0,663.0,1.0,28.0,0.042232277526395176,282.0,0.4253393665158371,147.0,0.22171945701357465,192.0,0.2895927601809955,14.0,0.021116138763197588
All Time,1,0,1335.0,1.0,547.0,0.40973782771535583,788.0,0.5902621722846442,547.0,0.40973782771535583,0.0,0.0,350.0,0.26217228464419473,0.0,0.0,438.0,0.32808988764044944,1339.0,1.0,686.0,0.5123226288274833,529.0,0.3950709484690067,124.0,0.09260642270351008,1165.0,0.8700522778192681,174.0,0.1299477221807319,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,463.0,1.0,668.0,1.0,2.0,0.0029940119760479044,261.0,0.3907185628742515,233.0,0.34880239520958084,150.0,0.2245508982035928,22.0,0.03293413173652695
All Time,1,1,1156.0,1.0,232.0,0.20069204152249134,924.0,0.7993079584775087,232.0,0.20069204152249134,0.0,0.0,309.0,0.2673010380622837,0.0,0.0,615.0,0.5320069204152249,1156.0,1.0,435.0,0.3762975778546713,625.0,0.5406574394463668,96.0,0.08304498269896193,1029.0,0.8901384083044983,127.0,0.10986159169550173,2266.0,1.0,1453.0,0.6412180052956752,813.0,0.3587819947043248,310.0,0.13680494263018536,16.0,0.00706090026478376,1094.0,0.48278905560458957,442.0,0.19505736981465135,1.0,0.000441306266548985,6.0,0.00264783759929391,359.0,0.15842894969108562,0.0,0.0,38.0,0.01676963812886143,472.0,1.0,739.0,1.0,2.0,0.0027063599458728013,321.0,0.43437077131258456,179.0,0.2422192151556157,206.0,0.2787550744248985,31.0,0.04194857916102842
