Entity,,,,,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Group Sessions,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views
Group,,,,,Aggregate,Account Type,Account Type,Account Source,Account Source,Account Source,Account Source,Account Source,Aggregate,Triage Level,Triage Level,Triage Level,Crisis Flag,Crisis Flag,Aggregate,Clinical Level,Clinical Level,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Aggregate,Aggregate,Content Type,Content Type,Content Type,Content Type,Content Type
Metric,,,,,Total,Anonymous,Verified,Anonymous,Email_password,Penn_key_sso,Penn_mpm_sso,Penn_sso,Total,Mild,Moderate,Severe,No,Yes,Total,Clinical,Sub-clinical,Care_manager,Chaplain,Clinician,Coach,Other,Peer,Psychiatrist,Psychologist,Undefined,Total,Total,App,Article,Podcast,Video,Worksheet
Year,Screening Session,Connect with Support,In the Studio,On Your Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,0,0,0,1,1155.0,843.0,312.0,843.0,0.0,160.0,0.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3275.0,0.0,846.0,1338.0,1077.0,14.0
2021,0,0,1,0,693.0,455.0,238.0,455.0,0.0,138.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,783.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,0,0,1,1,257.0,102.0,155.0,102.0,0.0,84.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.0,874.0,0.0,194.0,508.0,170.0,2.0
2021,0,1,0,0,561.0,489.0,72.0,489.0,0.0,33.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,632.0,520.0,112.0,26.0,3.0,495.0,82.0,0.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,0,1,0,1,11.0,8.0,3.0,8.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,12.0,7.0,0.0,0.0,12.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,3.0,6.0,6.0,0.0
2021,0,1,1,0,22.0,12.0,10.0,12.0,0.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0,4.0,0.0,0.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,0,1,1,1,11.0,3.0,8.0,3.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,11.0,12.0,2.0,0.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0,54.0,110.0,0.0,63.0,25.0,22.0,0.0
2021,1,0,0,0,341.0,166.0,175.0,166.0,0.0,89.0,0.0,86.0,347.0,171.0,141.0,35.0,303.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,0,0,1,27.0,9.0,18.0,9.0,0.0,10.0,0.0,8.0,31.0,13.0,15.0,3.0,27.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,39.0,37.0,12.0,3.0
2021,1,0,1,0,25.0,5.0,20.0,5.0,0.0,11.0,0.0,9.0,29.0,20.0,7.0,2.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,0,1,1,18.0,2.0,16.0,2.0,0.0,9.0,0.0,7.0,20.0,11.0,8.0,1.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,44.0,0.0,12.0,18.0,13.0,1.0
2021,1,1,0,0,284.0,66.0,218.0,66.0,0.0,102.0,0.0,116.0,301.0,131.0,143.0,27.0,269.0,32.0,583.0,337.0,246.0,112.0,4.0,219.0,130.0,0.0,0.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,0,1,20.0,3.0,17.0,3.0,0.0,8.0,0.0,9.0,30.0,13.0,14.0,3.0,27.0,3.0,104.0,71.0,33.0,10.0,1.0,61.0,22.0,0.0,0.0,10.0,0.0,0.0,0.0,92.0,0.0,26.0,30.0,36.0,0.0
2021,1,1,1,0,31.0,2.0,29.0,2.0,0.0,12.0,0.0,17.0,36.0,8.0,25.0,3.0,29.0,7.0,53.0,36.0,17.0,7.0,1.0,28.0,9.0,0.0,0.0,8.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,1,1,22.0,1.0,21.0,1.0,0.0,12.0,0.0,9.0,25.0,14.0,9.0,2.0,21.0,4.0,57.0,36.0,21.0,3.0,0.0,29.0,18.0,0.0,0.0,7.0,0.0,0.0,32.0,94.0,0.0,32.0,26.0,36.0,0.0
2022,0,0,0,0,9690.0,7518.0,2172.0,7518.0,0.0,1513.0,0.0,659.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,0,0,0,1,1456.0,957.0,499.0,957.0,0.0,319.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5295.0,1.0,714.0,3081.0,1494.0,5.0
2022,0,0,1,0,2250.0,1285.0,965.0,1285.0,0.0,573.0,0.0,392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4013.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,0,0,1,1,483.0,221.0,262.0,221.0,0.0,152.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1805.0,2977.0,1.0,324.0,2020.0,625.0,7.0
2022,0,1,0,0,560.0,385.0,175.0,385.0,0.0,121.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,685.0,408.0,277.0,139.0,2.0,408.0,123.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,0,1,0,1,28.0,5.0,23.0,5.0,0.0,20.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,14.0,24.0,5.0,0.0,14.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,89.0,0.0,52.0,25.0,12.0,0.0
2022,0,1,1,0,40.0,10.0,30.0,10.0,0.0,24.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,19.0,33.0,9.0,1.0,19.0,22.0,0.0,0.0,0.0,0.0,1.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,0,1,1,1,33.0,7.0,26.0,7.0,0.0,19.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,8.0,31.0,14.0,0.0,8.0,17.0,0.0,0.0,0.0,0.0,0.0,94.0,66.0,0.0,16.0,28.0,22.0,0.0
