Entity,,,,,,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Group Sessions,Group Sessions,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views
Group,,,,,,Aggregate,Aggregate,Account Type,Account Type,Account Type,Account Type,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Aggregate,Aggregate,Triage Level,Triage Level,Triage Level,Triage Level,Triage Level,Triage Level,Crisis Flag,Crisis Flag,Crisis Flag,Crisis Flag,Aggregate,Aggregate,Clinical Level,Clinical Level,Clinical Level,Clinical Level,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Aggregate,Aggregate,Aggregate,Aggregate,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type
Metric,,,,,,Total,Total_Group_Pct,Anonymous,Anonymous_Group_Pct,Verified,Verified_Group_Pct,Anonymous,Anonymous_Group_Pct,Email_password,Email_password_Group_Pct,Penn_key_sso,Penn_key_sso_Group_Pct,Penn_mpm_sso,Penn_mpm_sso_Group_Pct,Penn_sso,Penn_sso_Group_Pct,Total,Total_Group_Pct,Mild,Mild_Group_Pct,Moderate,Moderate_Group_Pct,Severe,Severe_Group_Pct,No,No_Group_Pct,Yes,Yes_Group_Pct,Total,Total_Group_Pct,Clinical,Clinical_Group_Pct,Sub-clinical,Sub-clinical_Group_Pct,Care_manager,Care_manager_Group_Pct,Chaplain,Chaplain_Group_Pct,Clinician,Clinician_Group_Pct,Coach,Coach_Group_Pct,Other,Other_Group_Pct,Peer,Peer_Group_Pct,Psychiatrist,Psychiatrist_Group_Pct,Psychologist,Psychologist_Group_Pct,Undefined,Undefined_Group_Pct,Total,Total_Group_Pct,Total,Total_Group_Pct,App,App_Group_Pct,Article,Article_Group_Pct,Podcast,Podcast_Group_Pct,Video,Video_Group_Pct,Worksheet,Worksheet_Group_Pct
Year,Month,Screening Session,Connect with Support,In the Studio,On Your Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,4,0,1,1,1,8.0,1.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,19.0,1.0,0.0,0.0,17.0,0.8947368421052632,0.0,0.0,2.0,0.10526315789473684,0.0,0.0
2020,4,1,0,0,0,76.0,1.0,33.0,0.4342105263157895,43.0,0.5657894736842105,33.0,0.4342105263157895,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.5657894736842105,45.0,1.0,23.0,0.5111111111111111,13.0,0.28888888888888886,9.0,0.2,34.0,0.7555555555555555,11.0,0.24444444444444444,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2020,4,1,0,0,1,49.0,1.0,16.0,0.32653061224489793,33.0,0.673469387755102,16.0,0.32653061224489793,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.673469387755102,22.0,1.0,14.0,0.6363636363636364,6.0,0.2727272727272727,2.0,0.09090909090909091,21.0,0.9545454545454546,1.0,0.045454545454545456,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,72.0,1.0,0.0,0.0,47.0,0.6527777777777778,0.0,0.0,16.0,0.2222222222222222,9.0,0.125
2020,4,1,0,1,0,8.0,1.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2020,4,1,0,1,1,10.0,1.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,8.0,1.0,0.0,0.0,4.0,0.5,0.0,0.0,2.0,0.25,2.0,0.25
2020,4,1,1,0,0,61.0,1.0,11.0,0.18032786885245902,50.0,0.819672131147541,11.0,0.18032786885245902,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.819672131147541,36.0,1.0,9.0,0.25,25.0,0.6944444444444444,2.0,0.05555555555555555,33.0,0.9166666666666666,3.0,0.08333333333333333,31.0,1.0,25.0,0.8064516129032258,6.0,0.1935483870967742,0.0,0.0,1.0,0.03225806451612903,19.0,0.6129032258064516,5.0,0.16129032258064516,0.0,0.0,0.0,0.0,6.0,0.1935483870967742,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2020,4,1,1,0,1,37.0,1.0,4.0,0.10810810810810811,33.0,0.8918918918918919,4.0,0.10810810810810811,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.8918918918918919,17.0,1.0,4.0,0.23529411764705882,13.0,0.7647058823529411,0.0,0.0,15.0,0.8823529411764706,2.0,0.11764705882352941,15.0,1.0,14.0,0.9333333333333333,1.0,0.06666666666666667,0.0,0.0,1.0,0.06666666666666667,12.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,,102.0,1.0,0.0,0.0,78.0,0.7647058823529411,3.0,0.029411764705882353,14.0,0.13725490196078433,7.0,0.06862745098039216
2020,4,1,1,1,0,13.0,1.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2020,4,1,1,1,1,17.0,1.0,1.0,0.058823529411764705,16.0,0.9411764705882353,1.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.9411764705882353,4.0,1.0,2.0,0.5,2.0,0.5,0.0,0.0,4.0,1.0,0.0,0.0,7.0,1.0,2.0,0.2857142857142857,5.0,0.7142857142857143,0.0,0.0,1.0,0.14285714285714285,2.0,0.2857142857142857,4.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,21.0,1.0,0.0,0.0,13.0,0.6190476190476191,0.0,0.0,2.0,0.09523809523809523,6.0,0.2857142857142857
2020,5,0,0,0,0,1351.0,1.0,1071.0,0.7927461139896373,280.0,0.20725388601036268,1071.0,0.7927461139896373,0.0,0.0,32.0,0.023686158401184307,0.0,0.0,248.0,0.1835677276091784,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
