Entity,,,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Group Sessions,Group Sessions,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views
Group,,,Aggregate,Aggregate,Account Type,Account Type,Account Type,Account Type,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Aggregate,Aggregate,Triage Level,Triage Level,Triage Level,Triage Level,Triage Level,Triage Level,Crisis Flag,Crisis Flag,Crisis Flag,Crisis Flag,Aggregate,Aggregate,Clinical Level,Clinical Level,Clinical Level,Clinical Level,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Aggregate,Aggregate,Aggregate,Aggregate,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type
Metric,,,Total,Total_Screening_Pct,Anonymous,Anonymous_Screening_Pct,Verified,Verified_Screening_Pct,Anonymous,Anonymous_Screening_Pct,Email_password,Email_password_Screening_Pct,Penn_key_sso,Penn_key_sso_Screening_Pct,Penn_mpm_sso,Penn_mpm_sso_Screening_Pct,Penn_sso,Penn_sso_Screening_Pct,Total,Total_Screening_Pct,Mild,Mild_Screening_Pct,Moderate,Moderate_Screening_Pct,Severe,Severe_Screening_Pct,No,No_Screening_Pct,Yes,Yes_Screening_Pct,Total,Total_Screening_Pct,Clinical,Clinical_Screening_Pct,Sub-clinical,Sub-clinical_Screening_Pct,Care_manager,Care_manager_Screening_Pct,Chaplain,Chaplain_Screening_Pct,Clinician,Clinician_Screening_Pct,Coach,Coach_Screening_Pct,Other,Other_Screening_Pct,Peer,Peer_Screening_Pct,Psychiatrist,Psychiatrist_Screening_Pct,Psychologist,Psychologist_Screening_Pct,Undefined,Undefined_Screening_Pct,Total,Total_Screening_Pct,Total,Total_Screening_Pct,App,App_Screening_Pct,Article,Article_Screening_Pct,Podcast,Podcast_Screening_Pct,Video,Video_Screening_Pct,Worksheet,Worksheet_Screening_Pct
Year,Screening Session,Connect with Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,357.0,0.46484375,72.0,0.28346456692913385,285.0,0.5544747081712063,72.0,0.28346456692913385,0.0,,134.0,0.5296442687747036,0.0,,151.0,0.578544061302682,392.0,0.47863247863247865,166.0,0.4356955380577428,191.0,0.5276243093922652,35.0,0.4605263157894737,346.0,0.4812239221140473,46.0,0.46,797.0,1.0,480.0,1.0,317.0,1.0,132.0,1.0,6.0,1.0,337.0,1.0,179.0,1.0,0.0,,0.0,,143.0,1.0,0.0,,0.0,,73.0,0.5887096774193549,186.0,0.5794392523364486,0.0,,58.0,0.5321100917431193,56.0,0.5045045045045045,72.0,0.7422680412371134,0.0,0.0
2022,0,0,13879.0,0.9545392022008253,9981.0,0.9608201771274547,3898.0,0.9388246628131022,9981.0,0.9608201771274547,0.0,,2557.0,0.9328712148850784,0.0,,1341.0,0.9503897944720057,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,5818.0,0.9704753961634696,8272.0,0.9816067402397057,2.0,1.0,1038.0,0.9385171790235082,5101.0,0.9897167248738844,2119.0,0.9842080817464004,12.0,1.0
2022,0,1,661.0,0.04546079779917469,407.0,0.03917982287254525,254.0,0.06117533718689788,407.0,0.03917982287254525,0.0,,184.0,0.06712878511492155,0.0,,70.0,0.04961020552799433,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,814.0,1.0,449.0,1.0,365.0,1.0,167.0,1.0,3.0,1.0,449.0,1.0,180.0,1.0,0.0,,0.0,,0.0,,0.0,,15.0,1.0,177.0,0.029524603836530442,155.0,0.01839325976029429,0.0,0.0,68.0,0.06148282097649186,53.0,0.010283275126115638,34.0,0.01579191825359963,0.0,0.0
2022,1,0,354.0,0.6378378378378379,131.0,0.7751479289940828,223.0,0.5777202072538861,131.0,0.7751479289940828,0.0,,175.0,0.5952380952380952,0.0,,48.0,0.5217391304347826,405.0,0.6240369799691834,195.0,0.6521739130434783,172.0,0.5657894736842105,38.0,0.8260869565217391,346.0,0.6102292768959435,59.0,0.7195121951219512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,212.0,0.53,153.0,0.5294117647058824,0.0,,41.0,0.5394736842105263,58.0,0.5420560747663551,54.0,0.5346534653465347,0.0,0.0
2022,1,1,201.0,0.3621621621621622,38.0,0.22485207100591717,163.0,0.422279792746114,38.0,0.22485207100591717,0.0,,119.0,0.40476190476190477,0.0,,44.0,0.4782608695652174,244.0,0.37596302003081666,104.0,0.34782608695652173,132.0,0.4342105263157895,8.0,0.17391304347826086,221.0,0.3897707231040564,23.0,0.2804878048780488,385.0,1.0,120.0,1.0,265.0,1.0,176.0,1.0,1.0,1.0,117.0,1.0,84.0,1.0,1.0,1.0,0.0,,3.0,1.0,0.0,,3.0,1.0,188.0,0.47,136.0,0.47058823529411764,0.0,,35.0,0.4605263157894737,49.0,0.45794392523364486,47.0,0.46534653465346537,5.0,1.0
2023,0,0,7142.0,0.9295847976051022,2802.0,0.9308970099667774,4340.0,0.9287395677295099,2802.0,0.9308970099667774,0.0,,1823.0,0.9047146401985111,0.0,,2517.0,0.9469525959367946,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,5306.0,0.9451371571072319,3267.0,0.9586267605633803,37.0,0.5692307692307692,808.0,0.936268829663963,1454.0,0.9837618403247632,955.0,0.9705284552845529,13.0,0.7222222222222222
2023,0,1,541.0,0.07041520239489783,208.0,0.0691029900332226,333.0,0.07126043227049005,208.0,0.0691029900332226,0.0,,192.0,0.09528535980148883,0.0,,141.0,0.05304740406320542,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,730.0,1.0,310.0,1.0,420.0,1.0,0.0,,14.0,1.0,310.0,1.0,176.0,1.0,0.0,,0.0,,0.0,,0.0,,230.0,1.0,308.0,0.05486284289276808,141.0,0.04137323943661972,28.0,0.4307692307692308,55.0,0.06373117033603708,24.0,0.016238159675236806,29.0,0.029471544715447155,5.0,0.2777777777777778
2023,1,0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,156.0,0.5048543689320388,42.0,0.5454545454545454,2.0,1.0,11.0,0.44,27.0,0.7105263157894737,2.0,0.16666666666666666,0.0,
2023,1,1,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,57.0,1.0,8.0,1.0,49.0,1.0,0.0,,1.0,1.0,8.0,1.0,16.0,1.0,0.0,,0.0,,0.0,,0.0,,32.0,1.0,153.0,0.49514563106796117,35.0,0.45454545454545453,0.0,0.0,14.0,0.56,11.0,0.2894736842105263,10.0,0.8333333333333334,0.0,
2024,0,0,1085.0,0.9132996632996633,301.0,0.9836601307189542,784.0,0.8888888888888888,301.0,0.9836601307189542,0.0,,344.0,0.8249400479616307,0.0,,440.0,0.946236559139785,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,1475.0,0.9640522875816994,379.0,0.9110576923076923,2.0,1.0,79.0,0.8681318681318682,105.0,0.9459459459459459,189.0,0.9086538461538461,4.0,1.0
2024,0,1,103.0,0.0867003367003367,5.0,0.016339869281045753,98.0,0.1111111111111111,5.0,0.016339869281045753,0.0,,73.0,0.1750599520383693,0.0,,25.0,0.053763440860215055,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,194.0,1.0,85.0,1.0,109.0,1.0,0.0,,7.0,1.0,85.0,1.0,35.0,1.0,0.0,,0.0,,0.0,,9.0,1.0,58.0,1.0,55.0,0.03594771241830065,37.0,0.0889423076923077,0.0,0.0,12.0,0.13186813186813187,6.0,0.05405405405405406,19.0,0.09134615384615384,0.0,0.0
2024,1,0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,43.0,0.43434343434343436,20.0,0.7692307692307693,0.0,0.0,3.0,0.42857142857142855,0.0,,17.0,1.0,0.0,
2024,1,1,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,8.0,1.0,3.0,1.0,5.0,1.0,0.0,,1.0,1.0,3.0,1.0,1.0,1.0,0.0,,0.0,,0.0,,0.0,,3.0,1.0,56.0,0.5656565656565656,6.0,0.23076923076923078,2.0,1.0,4.0,0.5714285714285714,0.0,,0.0,0.0,0.0,
All Time,0,0,45337.0,0.9522779306433657,31396.0,0.9578083529088746,13941.0,0.9400539447066757,31396.0,0.9578083529088746,1.0,1.0,6025.0,0.9216766100657794,88.0,1.0,7827.0,0.9540468064358849,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13658.0,0.9565765513377223,20221.0,0.9682532081976633,41.0,0.5942028985507246,4808.0,0.9445972495088408,9189.0,0.984254498714653,5951.0,0.9687449129090021,232.0,0.943089430894309
All Time,0,1,2272.0,0.04772206935663425,1383.0,0.04219164709112542,889.0,0.05994605529332434,1383.0,0.04219164709112542,0.0,0.0,512.0,0.0783233899342206,0.0,0.0,377.0,0.045953193564115064,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2851.0,1.0,1627.0,1.0,1224.0,1.0,195.0,1.0,38.0,1.0,1543.0,1.0,673.0,1.0,1.0,1.0,5.0,1.0,84.0,1.0,9.0,1.0,303.0,1.0,620.0,0.04342344866227763,663.0,0.031746791802336714,28.0,0.4057971014492754,282.0,0.055402750491159135,147.0,0.015745501285347043,192.0,0.031255087090997884,14.0,0.056910569105691054
All Time,1,0,1335.0,0.5359293456443196,547.0,0.7021822849807445,788.0,0.4602803738317757,547.0,0.7021822849807445,0.0,,350.0,0.5311077389984825,0.0,,438.0,0.41595441595441596,1339.0,0.5366733466933867,686.0,0.6119536128456735,529.0,0.4584055459272097,124.0,0.5636363636363636,1165.0,0.5309936189608022,174.0,0.5780730897009967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,463.0,0.49518716577540106,668.0,0.47476901208244493,2.0,0.5,261.0,0.4484536082474227,233.0,0.5655339805825242,150.0,0.42134831460674155,22.0,0.41509433962264153
All Time,1,1,1156.0,0.46407065435568046,232.0,0.29781771501925547,924.0,0.5397196261682243,232.0,0.29781771501925547,0.0,,309.0,0.46889226100151743,0.0,,615.0,0.584045584045584,1156.0,0.4633266533066132,435.0,0.3880463871543265,625.0,0.5415944540727903,96.0,0.43636363636363634,1029.0,0.46900638103919784,127.0,0.4219269102990033,2266.0,1.0,1453.0,1.0,813.0,1.0,310.0,1.0,16.0,1.0,1094.0,1.0,442.0,1.0,1.0,1.0,6.0,1.0,359.0,1.0,0.0,,38.0,1.0,472.0,0.5048128342245989,739.0,0.5252309879175551,2.0,0.5,321.0,0.5515463917525774,179.0,0.4344660194174757,206.0,0.5786516853932584,31.0,0.5849056603773585
