Entity,,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Group Sessions,Group Sessions,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views
Group,,Aggregate,Aggregate,Account Type,Account Type,Account Type,Account Type,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Aggregate,Aggregate,Triage Level,Triage Level,Triage Level,Triage Level,Triage Level,Triage Level,Crisis Flag,Crisis Flag,Crisis Flag,Crisis Flag,Aggregate,Aggregate,Clinical Level,Clinical Level,Clinical Level,Clinical Level,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Aggregate,Aggregate,Aggregate,Aggregate,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type
Metric,,Total,Total_Group_Pct,Anonymous,Anonymous_Group_Pct,Verified,Verified_Group_Pct,Anonymous,Anonymous_Group_Pct,Email_password,Email_password_Group_Pct,Penn_key_sso,Penn_key_sso_Group_Pct,Penn_mpm_sso,Penn_mpm_sso_Group_Pct,Penn_sso,Penn_sso_Group_Pct,Total,Total_Group_Pct,Mild,Mild_Group_Pct,Moderate,Moderate_Group_Pct,Severe,Severe_Group_Pct,No,No_Group_Pct,Yes,Yes_Group_Pct,Total,Total_Group_Pct,Clinical,Clinical_Group_Pct,Sub-clinical,Sub-clinical_Group_Pct,Care_manager,Care_manager_Group_Pct,Chaplain,Chaplain_Group_Pct,Clinician,Clinician_Group_Pct,Coach,Coach_Group_Pct,Other,Other_Group_Pct,Peer,Peer_Group_Pct,Psychiatrist,Psychiatrist_Group_Pct,Psychologist,Psychologist_Group_Pct,Undefined,Undefined_Group_Pct,Total,Total_Group_Pct,Total,Total_Group_Pct,App,App_Group_Pct,Article,Article_Group_Pct,Podcast,Podcast_Group_Pct,Video,Video_Group_Pct,Worksheet,Worksheet_Group_Pct
Year,Domain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Site_wide,12591.0,1.0,10200.0,0.8101024541339051,2391.0,0.18989754586609484,10200.0,0.8101024541339051,0.0,0.0,1187.0,0.0942736875546025,88.0,0.006989119212135652,1116.0,0.08863473909935668,819.0,1.0,381.0,0.4652014652014652,362.0,0.442002442002442,76.0,0.0927960927960928,719.0,0.8778998778998779,100.0,0.1221001221001221,1491.0,1.0,1039.0,0.6968477531857814,452.0,0.30315224681421865,160.0,0.10731052984574112,9.0,0.006036217303822937,871.0,0.5841716968477532,282.0,0.1891348088531187,0.0,0.0,1.0,0.0006706908115358819,168.0,0.11267605633802817,0.0,0.0,0.0,0.0,1255.0,1.0,4595.0,1.0,0.0,0.0,1215.0,0.264417845484222,1988.0,0.4326441784548422,1372.0,0.2985854189336235,20.0,0.004352557127312296
2022,Connect with Support,862.0,1.0,445.0,0.5162412993039444,417.0,0.4837587006960557,445.0,0.5162412993039444,0.0,0.0,303.0,0.351508120649652,0.0,0.0,114.0,0.13225058004640372,244.0,1.0,104.0,0.4262295081967213,132.0,0.5409836065573771,8.0,0.03278688524590164,221.0,0.9057377049180327,23.0,0.0942622950819672,1199.0,1.0,569.0,0.4745621351125938,630.0,0.5254378648874062,343.0,0.28607172643869894,4.0,0.003336113427856547,566.0,0.47206005004170143,264.0,0.22018348623853212,1.0,0.0008340283569641367,0.0,0.0,3.0,0.0025020850708924102,0.0,0.0,18.0,0.015012510425354461,365.0,1.0,291.0,1.0,0.0,0.0,103.0,0.3539518900343643,102.0,0.35051546391752575,81.0,0.27835051546391754,5.0,0.01718213058419244
2022,In the Studio,2868.0,1.0,1532.0,0.5341701534170153,1336.0,0.46582984658298465,1532.0,0.5341701534170153,0.0,0.0,805.0,0.28068340306834033,0.0,0.0,531.0,0.18514644351464435,92.0,1.0,41.0,0.44565217391304346,43.0,0.4673913043478261,8.0,0.08695652173913043,84.0,0.9130434782608695,8.0,0.08695652173913043,181.0,1.0,56.0,0.30939226519337015,125.0,0.6906077348066298,67.0,0.3701657458563536,2.0,0.011049723756906077,56.0,0.30939226519337015,54.0,0.2983425414364641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.011049723756906077,6395.0,1.0,3189.0,1.0,1.0,0.00031357792411414236,386.0,0.12104107870805896,2105.0,0.6600815302602697,685.0,0.2148008780181875,12.0,0.0037629350893697085
2022,On Your Time,2053.0,1.0,1207.0,0.5879201169020944,846.0,0.4120798830979055,1207.0,0.5879201169020944,0.0,0.0,540.0,0.26302971261568436,0.0,0.0,306.0,0.14905017048222113,82.0,1.0,42.0,0.5121951219512195,34.0,0.4146341463414634,6.0,0.07317073170731707,76.0,0.926829268292683,6.0,0.07317073170731707,132.0,1.0,39.0,0.29545454545454547,93.0,0.7045454545454546,47.0,0.3560606060606061,1.0,0.007575757575757576,39.0,0.29545454545454547,41.0,0.3106060606060606,1.0,0.007575757575757576,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.022727272727272728,2106.0,1.0,8716.0,1.0,2.0,0.0002294630564479119,1182.0,0.13561266636071592,5261.0,0.6036025699862322,2254.0,0.2586048646167967,17.0,0.001950435979807251
2022,Site_wide,15095.0,1.0,10557.0,0.6993706525339516,4538.0,0.30062934746604836,10557.0,0.6993706525339516,0.0,0.0,3035.0,0.20105995362702883,0.0,0.0,1503.0,0.09956939383901954,649.0,1.0,299.0,0.46070878274268107,304.0,0.46841294298921415,46.0,0.07087827426810478,567.0,0.8736517719568567,82.0,0.1263482280431433,1199.0,1.0,569.0,0.4745621351125938,630.0,0.5254378648874062,343.0,0.28607172643869894,4.0,0.003336113427856547,566.0,0.47206005004170143,264.0,0.22018348623853212,1.0,0.0008340283569641367,0.0,0.0,3.0,0.0025020850708924102,0.0,0.0,18.0,0.015012510425354461,6395.0,1.0,8716.0,1.0,2.0,0.0002294630564479119,1182.0,0.13561266636071592,5261.0,0.6036025699862322,2254.0,0.2586048646167967,17.0,0.001950435979807251
2023,Connect with Support,541.0,1.0,208.0,0.3844731977818854,333.0,0.6155268022181146,208.0,0.3844731977818854,0.0,0.0,192.0,0.35489833641404805,0.0,0.0,141.0,0.26062846580406657,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,787.0,1.0,318.0,0.4040660736975858,469.0,0.5959339263024143,0.0,0.0,15.0,0.01905972045743329,318.0,0.4040660736975858,192.0,0.24396442185514614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262.0,0.33290978398983484,461.0,1.0,176.0,1.0,28.0,0.1590909090909091,69.0,0.39204545454545453,35.0,0.19886363636363635,39.0,0.2215909090909091,5.0,0.028409090909090908
2023,In the Studio,1762.0,1.0,169.0,0.09591373439273553,1593.0,0.9040862656072645,169.0,0.09591373439273553,0.0,0.0,626.0,0.35527809307604996,0.0,0.0,967.0,0.5488081725312145,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,152.0,1.0,28.0,0.18421052631578946,124.0,0.8157894736842105,0.0,0.0,8.0,0.05263157894736842,28.0,0.18421052631578946,57.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.3881578947368421,5923.0,1.0,1557.0,1.0,42.0,0.02697495183044316,348.0,0.22350674373795762,734.0,0.4714193962748876,423.0,0.27167630057803466,10.0,0.006422607578676943
2023,On Your Time,691.0,1.0,202.0,0.29232995658465993,489.0,0.7076700434153401,202.0,0.29232995658465993,0.0,0.0,186.0,0.2691751085383502,0.0,0.0,303.0,0.4384949348769899,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,93.0,1.0,15.0,0.16129032258064516,78.0,0.8387096774193549,0.0,0.0,4.0,0.043010752688172046,15.0,0.16129032258064516,30.0,0.3225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.4731182795698925,2011.0,1.0,3485.0,1.0,67.0,0.019225251076040173,888.0,0.25480631276901006,1516.0,0.43500717360114777,996.0,0.28579626972740313,18.0,0.005164992826398852
2023,Site_wide,7683.0,1.0,3010.0,0.3917740465963816,4673.0,0.6082259534036184,3010.0,0.3917740465963816,0.0,0.0,2015.0,0.2622673434856176,0.0,0.0,2658.0,0.34595860991800076,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,787.0,1.0,318.0,0.4040660736975858,469.0,0.5959339263024143,0.0,0.0,15.0,0.01905972045743329,318.0,0.4040660736975858,192.0,0.24396442185514614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262.0,0.33290978398983484,5923.0,1.0,3485.0,1.0,67.0,0.019225251076040173,888.0,0.25480631276901006,1516.0,0.43500717360114777,996.0,0.28579626972740313,18.0,0.005164992826398852
2024,Connect with Support,103.0,1.0,5.0,0.04854368932038835,98.0,0.9514563106796117,5.0,0.04854368932038835,0.0,0.0,73.0,0.7087378640776699,0.0,0.0,25.0,0.24271844660194175,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,202.0,1.0,88.0,0.43564356435643564,114.0,0.5643564356435643,0.0,0.0,8.0,0.039603960396039604,88.0,0.43564356435643564,36.0,0.1782178217821782,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.04455445544554455,61.0,0.30198019801980197,111.0,1.0,43.0,1.0,2.0,0.046511627906976744,16.0,0.37209302325581395,6.0,0.13953488372093023,19.0,0.4418604651162791,0.0,0.0
2024,In the Studio,304.0,1.0,35.0,0.11513157894736842,269.0,0.8848684210526315,35.0,0.11513157894736842,0.0,0.0,98.0,0.3223684210526316,0.0,0.0,171.0,0.5625,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,40.0,1.0,4.0,0.1,36.0,0.9,0.0,0.0,2.0,0.05,4.0,0.1,19.0,0.475,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.075,12.0,0.3,1629.0,1.0,190.0,1.0,1.0,0.005263157894736842,40.0,0.21052631578947367,16.0,0.08421052631578947,132.0,0.6947368421052632,1.0,0.005263157894736842
2024,On Your Time,54.0,1.0,23.0,0.42592592592592593,31.0,0.5740740740740741,23.0,0.42592592592592593,0.0,0.0,17.0,0.3148148148148148,0.0,0.0,14.0,0.25925925925925924,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,33.0,1.0,3.0,0.09090909090909091,30.0,0.9090909090909091,0.0,0.0,1.0,0.030303030303030304,3.0,0.09090909090909091,16.0,0.48484848484848486,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.09090909090909091,10.0,0.30303030303030304,525.0,1.0,442.0,1.0,4.0,0.00904977375565611,98.0,0.22171945701357465,111.0,0.251131221719457,225.0,0.5090497737556561,4.0,0.00904977375565611
2024,Site_wide,1188.0,1.0,306.0,0.25757575757575757,882.0,0.7424242424242424,306.0,0.25757575757575757,0.0,0.0,417.0,0.351010101010101,0.0,0.0,465.0,0.39141414141414144,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,202.0,1.0,88.0,0.43564356435643564,114.0,0.5643564356435643,0.0,0.0,8.0,0.039603960396039604,88.0,0.43564356435643564,36.0,0.1782178217821782,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.04455445544554455,61.0,0.30198019801980197,1629.0,1.0,442.0,1.0,4.0,0.00904977375565611,98.0,0.22171945701357465,111.0,0.251131221719457,225.0,0.5090497737556561,4.0,0.00904977375565611
All Time,Connect with Support,3428.0,1.0,1615.0,0.47112018669778294,1813.0,0.528879813302217,1615.0,0.47112018669778294,0.0,0.0,821.0,0.2394982497082847,0.0,0.0,992.0,0.2893815635939323,1156.0,1.0,435.0,0.3762975778546713,625.0,0.5406574394463668,96.0,0.08304498269896193,1029.0,0.8901384083044983,127.0,0.10986159169550173,5117.0,1.0,3080.0,0.6019151846785226,2037.0,0.39808481532147744,505.0,0.0986906390463162,54.0,0.010553058432675396,2637.0,0.5153410201289819,1115.0,0.21790111393394568,2.0,0.00039085401602501464,11.0,0.0021496970881375805,443.0,0.08657416454954074,9.0,0.0017588430721125659,341.0,0.066640609732265,1092.0,1.0,1402.0,1.0,30.0,0.021398002853067047,603.0,0.43009985734664763,326.0,0.23252496433666192,398.0,0.2838801711840228,45.0,0.03209700427960057
All Time,In the Studio,6579.0,1.0,2364.0,0.3593251253989968,4215.0,0.6406748746010031,2364.0,0.3593251253989968,0.0,0.0,1853.0,0.28165374677002586,0.0,0.0,2362.0,0.35902112783097734,291.0,1.0,141.0,0.4845360824742268,132.0,0.4536082474226804,18.0,0.061855670103092786,260.0,0.8934707903780069,31.0,0.10652920962199312,642.0,1.0,270.0,0.4205607476635514,372.0,0.5794392523364486,79.0,0.12305295950155763,17.0,0.0264797507788162,243.0,0.37850467289719625,200.0,0.3115264797507788,0.0,0.0,0.0,0.0,27.0,0.04205607476635514,3.0,0.004672897196261682,73.0,0.11370716510903427,15213.0,1.0,6660.0,1.0,44.0,0.006606606606606606,1371.0,0.20585585585585586,3500.0,0.5255255255255256,1685.0,0.253003003003003,60.0,0.009009009009009009
All Time,On Your Time,6754.0,1.0,3799.0,0.5624814924489192,2955.0,0.43751850755108085,3799.0,0.5624814924489192,0.0,0.0,1115.0,0.16508735564110158,0.0,0.0,1840.0,0.2724311519099793,402.0,1.0,193.0,0.48009950248756217,182.0,0.4527363184079602,27.0,0.06716417910447761,359.0,0.8930348258706468,43.0,0.10696517412935323,795.0,1.0,447.0,0.5622641509433962,348.0,0.4377358490566038,62.0,0.0779874213836478,16.0,0.02012578616352201,385.0,0.48427672955974843,207.0,0.26037735849056604,2.0,0.0025157232704402514,1.0,0.0012578616352201257,62.0,0.0779874213836478,3.0,0.0037735849056603774,57.0,0.07169811320754717,5041.0,1.0,22291.0,1.0,73.0,0.0032748642950069535,5672.0,0.2544524696065677,9748.0,0.4373065362702436,6499.0,0.29155264456507113,299.0,0.013413485263110673
All Time,Site_wide,50100.0,1.0,33558.0,0.6698203592814371,16542.0,0.3301796407185629,33558.0,0.6698203592814371,1.0,1.9960079840319362e-05,7196.0,0.1436327345309381,88.0,0.0017564870259481038,9257.0,0.1847704590818363,2495.0,1.0,1121.0,0.4492985971943888,1154.0,0.4625250501002004,220.0,0.08817635270541083,2194.0,0.8793587174348697,301.0,0.12064128256513026,5117.0,1.0,3080.0,0.6019151846785226,2037.0,0.39808481532147744,505.0,0.0986906390463162,54.0,0.010553058432675396,2637.0,0.5153410201289819,1115.0,0.21790111393394568,2.0,0.00039085401602501464,11.0,0.0021496970881375805,443.0,0.08657416454954074,9.0,0.0017588430721125659,341.0,0.066640609732265,15213.0,1.0,22291.0,1.0,73.0,0.0032748642950069535,5672.0,0.2544524696065677,9748.0,0.4373065362702436,6499.0,0.29155264456507113,299.0,0.013413485263110673
