Entity,,,,,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Group Sessions,Group Sessions,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views
Group,,,,,Aggregate,Aggregate,Account Type,Account Type,Account Type,Account Type,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Aggregate,Aggregate,Triage Level,Triage Level,Triage Level,Triage Level,Triage Level,Triage Level,Crisis Flag,Crisis Flag,Crisis Flag,Crisis Flag,Aggregate,Aggregate,Clinical Level,Clinical Level,Clinical Level,Clinical Level,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Aggregate,Aggregate,Aggregate,Aggregate,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type
Metric,,,,,Total,Total_Studio_Pct,Anonymous,Anonymous_Studio_Pct,Verified,Verified_Studio_Pct,Anonymous,Anonymous_Studio_Pct,Email_password,Email_password_Studio_Pct,Penn_key_sso,Penn_key_sso_Studio_Pct,Penn_mpm_sso,Penn_mpm_sso_Studio_Pct,Penn_sso,Penn_sso_Studio_Pct,Total,Total_Studio_Pct,Mild,Mild_Studio_Pct,Moderate,Moderate_Studio_Pct,Severe,Severe_Studio_Pct,No,No_Studio_Pct,Yes,Yes_Studio_Pct,Total,Total_Studio_Pct,Clinical,Clinical_Studio_Pct,Sub-clinical,Sub-clinical_Studio_Pct,Care_manager,Care_manager_Studio_Pct,Chaplain,Chaplain_Studio_Pct,Clinician,Clinician_Studio_Pct,Coach,Coach_Studio_Pct,Other,Other_Studio_Pct,Peer,Peer_Studio_Pct,Psychiatrist,Psychiatrist_Studio_Pct,Psychologist,Psychologist_Studio_Pct,Undefined,Undefined_Studio_Pct,Total,Total_Studio_Pct,Total,Total_Studio_Pct,App,App_Studio_Pct,Article,Article_Studio_Pct,Podcast,Podcast_Studio_Pct,Video,Video_Studio_Pct,Worksheet,Worksheet_Studio_Pct
Year,Screening Session,Connect with Support,In the Studio,On Your Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,0,1,1,1,21.0,0.6176470588235294,4.0,0.6666666666666666,17.0,0.6071428571428571,4.0,0.6666666666666666,0.0,,5.0,0.625,0.0,,12.0,0.6,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,14.0,0.7,7.0,0.7777777777777778,7.0,0.6363636363636364,0.0,,2.0,0.6666666666666666,7.0,0.7777777777777778,5.0,0.625,0.0,,0.0,,0.0,,0.0,,0.0,,4.0,0.8,133.0,1.0,0.0,,55.0,1.0,11.0,1.0,62.0,1.0,5.0,1.0
2020,1,0,0,0,416.0,0.8062015503875969,190.0,0.8189655172413793,226.0,0.795774647887324,190.0,0.8189655172413793,0.0,,41.0,0.8723404255319149,0.0,,185.0,0.7805907172995781,387.0,0.821656050955414,200.0,0.8,151.0,0.8531073446327684,36.0,0.8181818181818182,339.0,0.8228155339805825,48.0,0.8135593220338984,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,1,0,0,1,100.0,0.1937984496124031,42.0,0.1810344827586207,58.0,0.20422535211267606,42.0,0.1810344827586207,0.0,,6.0,0.1276595744680851,0.0,,52.0,0.21940928270042195,84.0,0.17834394904458598,50.0,0.2,26.0,0.14689265536723164,8.0,0.18181818181818182,73.0,0.17718446601941748,11.0,0.1864406779661017,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,276.0,1.0,0.0,,129.0,1.0,91.0,1.0,42.0,1.0,14.0,1.0
2020,1,0,1,0,25.0,0.46296296296296297,1.0,0.5,24.0,0.46153846153846156,1.0,0.5,0.0,,4.0,0.4444444444444444,0.0,,20.0,0.46511627906976744,17.0,0.4722222222222222,12.0,0.46153846153846156,4.0,0.4444444444444444,1.0,1.0,16.0,0.47058823529411764,1.0,0.5,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,1,0,1,1,29.0,0.5370370370370371,1.0,0.5,28.0,0.5384615384615384,1.0,0.5,0.0,,5.0,0.5555555555555556,0.0,,23.0,0.5348837209302325,19.0,0.5277777777777778,14.0,0.5384615384615384,5.0,0.5555555555555556,0.0,0.0,18.0,0.5294117647058824,1.0,0.5,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,1.0,42.0,1.0,0.0,,26.0,1.0,2.0,1.0,10.0,1.0,4.0,1.0
2020,1,1,0,0,423.0,0.8134615384615385,103.0,0.8583333333333333,320.0,0.8,103.0,0.8583333333333333,0.0,,46.0,0.8679245283018868,0.0,,274.0,0.7896253602305475,383.0,0.8201284796573876,117.0,0.8125,217.0,0.8007380073800738,49.0,0.9423076923076923,335.0,0.8111380145278451,48.0,0.8888888888888888,719.0,0.7789815817984832,595.0,0.7747395833333334,124.0,0.8,2.0,1.0,3.0,0.5,417.0,0.7354497354497355,114.0,0.8085106382978723,0.0,,5.0,0.8333333333333334,178.0,0.8855721393034826,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,1,1,0,1,97.0,0.18653846153846154,17.0,0.14166666666666666,80.0,0.2,17.0,0.14166666666666666,0.0,,7.0,0.1320754716981132,0.0,,73.0,0.21037463976945245,84.0,0.17987152034261242,27.0,0.1875,54.0,0.1992619926199262,3.0,0.057692307692307696,78.0,0.18886198547215496,6.0,0.1111111111111111,204.0,0.2210184182015168,173.0,0.22526041666666666,31.0,0.2,0.0,0.0,3.0,0.5,150.0,0.26455026455026454,27.0,0.19148936170212766,0.0,,1.0,0.16666666666666666,23.0,0.11442786069651742,0.0,,0.0,,0.0,,298.0,1.0,0.0,,169.0,1.0,51.0,1.0,62.0,1.0,16.0,1.0
2020,1,1,1,0,42.0,0.5384615384615384,1.0,0.5,41.0,0.5394736842105263,1.0,0.5,0.0,,2.0,0.6666666666666666,0.0,,39.0,0.5342465753424658,26.0,0.49056603773584906,12.0,0.5714285714285714,14.0,0.45161290322580644,0.0,0.0,25.0,0.5102040816326531,1.0,0.25,26.0,0.2708333333333333,17.0,0.22972972972972974,9.0,0.4090909090909091,0.0,,0.0,0.0,15.0,0.24193548387096775,9.0,0.42857142857142855,0.0,,0.0,,2.0,0.16666666666666666,0.0,,0.0,,2.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,1,1,1,1,36.0,0.46153846153846156,1.0,0.5,35.0,0.4605263157894737,1.0,0.5,0.0,,1.0,0.3333333333333333,0.0,,34.0,0.4657534246575342,27.0,0.5094339622641509,9.0,0.42857142857142855,17.0,0.5483870967741935,1.0,1.0,24.0,0.4897959183673469,3.0,0.75,70.0,0.7291666666666666,57.0,0.7702702702702703,13.0,0.5909090909090909,0.0,,1.0,1.0,47.0,0.7580645161290323,12.0,0.5714285714285714,0.0,,0.0,,10.0,0.8333333333333334,0.0,,0.0,,0.0,0.0,78.0,1.0,0.0,,41.0,1.0,12.0,1.0,15.0,1.0,10.0,1.0
2021,0,0,0,0,9113.0,0.8875146084924036,8034.0,0.9050354849611355,1079.0,0.7757009345794392,8034.0,0.9050354849611355,0.0,,505.0,0.7593984962406015,88.0,1.0,486.0,0.7617554858934169,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
