Entity,,,,,,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Group Sessions,Group Sessions,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views
Group,,,,,,Aggregate,Aggregate,Account Type,Account Type,Account Type,Account Type,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Aggregate,Aggregate,Triage Level,Triage Level,Triage Level,Triage Level,Triage Level,Triage Level,Crisis Flag,Crisis Flag,Crisis Flag,Crisis Flag,Aggregate,Aggregate,Clinical Level,Clinical Level,Clinical Level,Clinical Level,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Aggregate,Aggregate,Aggregate,Aggregate,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type
Metric,,,,,,Total,Total_Studio_Pct,Anonymous,Anonymous_Studio_Pct,Verified,Verified_Studio_Pct,Anonymous,Anonymous_Studio_Pct,Email_password,Email_password_Studio_Pct,Penn_key_sso,Penn_key_sso_Studio_Pct,Penn_mpm_sso,Penn_mpm_sso_Studio_Pct,Penn_sso,Penn_sso_Studio_Pct,Total,Total_Studio_Pct,Mild,Mild_Studio_Pct,Moderate,Moderate_Studio_Pct,Severe,Severe_Studio_Pct,No,No_Studio_Pct,Yes,Yes_Studio_Pct,Total,Total_Studio_Pct,Clinical,Clinical_Studio_Pct,Sub-clinical,Sub-clinical_Studio_Pct,Care_manager,Care_manager_Studio_Pct,Chaplain,Chaplain_Studio_Pct,Clinician,Clinician_Studio_Pct,Coach,Coach_Studio_Pct,Other,Other_Studio_Pct,Peer,Peer_Studio_Pct,Psychiatrist,Psychiatrist_Studio_Pct,Psychologist,Psychologist_Studio_Pct,Undefined,Undefined_Studio_Pct,Total,Total_Studio_Pct,Total,Total_Studio_Pct,App,App_Studio_Pct,Article,Article_Studio_Pct,Podcast,Podcast_Studio_Pct,Video,Video_Studio_Pct,Worksheet,Worksheet_Studio_Pct
Year,Month,Screening Session,Connect with Support,In the Studio,On Your Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,4,0,1,1,1,8.0,0.7272727272727273,0.0,,8.0,0.7272727272727273,0.0,,0.0,,0.0,,0.0,,8.0,0.7272727272727273,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,19.0,1.0,0.0,,17.0,1.0,0.0,,2.0,1.0,0.0,
2020,4,1,0,0,0,76.0,0.608,33.0,0.673469387755102,43.0,0.5657894736842105,33.0,0.673469387755102,0.0,,0.0,,0.0,,43.0,0.5657894736842105,45.0,0.6716417910447762,23.0,0.6216216216216216,13.0,0.6842105263157895,9.0,0.8181818181818182,34.0,0.6181818181818182,11.0,0.9166666666666666,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2020,4,1,0,0,1,49.0,0.392,16.0,0.32653061224489793,33.0,0.4342105263157895,16.0,0.32653061224489793,0.0,,0.0,,0.0,,33.0,0.4342105263157895,22.0,0.3283582089552239,14.0,0.3783783783783784,6.0,0.3157894736842105,2.0,0.18181818181818182,21.0,0.38181818181818183,1.0,0.08333333333333333,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,72.0,1.0,0.0,,47.0,1.0,0.0,,16.0,1.0,9.0,1.0
2020,4,1,0,1,0,8.0,0.4444444444444444,0.0,,8.0,0.4444444444444444,0.0,,0.0,,0.0,,0.0,,8.0,0.4444444444444444,1.0,0.3333333333333333,0.0,0.0,1.0,1.0,0.0,,1.0,0.3333333333333333,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2020,4,1,0,1,1,10.0,0.5555555555555556,0.0,,10.0,0.5555555555555556,0.0,,0.0,,0.0,,0.0,,10.0,0.5555555555555556,2.0,0.6666666666666666,2.0,1.0,0.0,0.0,0.0,,2.0,0.6666666666666666,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,8.0,1.0,0.0,,4.0,1.0,0.0,,2.0,1.0,2.0,1.0
2020,4,1,1,0,0,61.0,0.6224489795918368,11.0,0.7333333333333333,50.0,0.6024096385542169,11.0,0.7333333333333333,0.0,,0.0,,0.0,,50.0,0.6024096385542169,36.0,0.6792452830188679,9.0,0.6923076923076923,25.0,0.6578947368421053,2.0,1.0,33.0,0.6875,3.0,0.6,31.0,0.6739130434782609,25.0,0.6410256410256411,6.0,0.8571428571428571,0.0,,1.0,0.5,19.0,0.6129032258064516,5.0,1.0,0.0,,0.0,,6.0,0.75,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,4,1,1,0,1,37.0,0.37755102040816324,4.0,0.26666666666666666,33.0,0.39759036144578314,4.0,0.26666666666666666,0.0,,0.0,,0.0,,33.0,0.39759036144578314,17.0,0.32075471698113206,4.0,0.3076923076923077,13.0,0.34210526315789475,0.0,0.0,15.0,0.3125,2.0,0.4,15.0,0.32608695652173914,14.0,0.358974358974359,1.0,0.14285714285714285,0.0,,1.0,0.5,12.0,0.3870967741935484,0.0,0.0,0.0,,0.0,,2.0,0.25,0.0,,0.0,,0.0,,102.0,1.0,0.0,,78.0,1.0,3.0,1.0,14.0,1.0,7.0,1.0
2020,4,1,1,1,0,13.0,0.43333333333333335,0.0,0.0,13.0,0.4482758620689655,0.0,0.0,0.0,,0.0,,0.0,,13.0,0.4482758620689655,2.0,0.3333333333333333,0.0,0.0,2.0,0.5,0.0,,2.0,0.3333333333333333,0.0,,2.0,0.2222222222222222,1.0,0.3333333333333333,1.0,0.16666666666666666,0.0,,0.0,0.0,1.0,0.3333333333333333,1.0,0.2,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2020,4,1,1,1,1,17.0,0.5666666666666667,1.0,1.0,16.0,0.5517241379310345,1.0,1.0,0.0,,0.0,,0.0,,16.0,0.5517241379310345,4.0,0.6666666666666666,2.0,1.0,2.0,0.5,0.0,,4.0,0.6666666666666666,0.0,,7.0,0.7777777777777778,2.0,0.6666666666666666,5.0,0.8333333333333334,0.0,,1.0,1.0,2.0,0.6666666666666666,4.0,0.8,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,21.0,1.0,0.0,,13.0,1.0,0.0,,2.0,1.0,6.0,1.0
2020,5,0,0,0,0,1351.0,0.8109243697478992,1071.0,0.8386844166014096,280.0,0.7197943444730077,1071.0,0.8386844166014096,0.0,,32.0,0.7441860465116279,0.0,,248.0,0.7167630057803468,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
