Entity,,,,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Group Sessions,Group Sessions,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views
Group,,,,Aggregate,Aggregate,Account Type,Account Type,Account Type,Account Type,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Aggregate,Aggregate,Triage Level,Triage Level,Triage Level,Triage Level,Triage Level,Triage Level,Crisis Flag,Crisis Flag,Crisis Flag,Crisis Flag,Aggregate,Aggregate,Clinical Level,Clinical Level,Clinical Level,Clinical Level,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Aggregate,Aggregate,Aggregate,Aggregate,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type
Metric,,,,Total,Total_Studio_Pct,Anonymous,Anonymous_Studio_Pct,Verified,Verified_Studio_Pct,Anonymous,Anonymous_Studio_Pct,Email_password,Email_password_Studio_Pct,Penn_key_sso,Penn_key_sso_Studio_Pct,Penn_mpm_sso,Penn_mpm_sso_Studio_Pct,Penn_sso,Penn_sso_Studio_Pct,Total,Total_Studio_Pct,Mild,Mild_Studio_Pct,Moderate,Moderate_Studio_Pct,Severe,Severe_Studio_Pct,No,No_Studio_Pct,Yes,Yes_Studio_Pct,Total,Total_Studio_Pct,Clinical,Clinical_Studio_Pct,Sub-clinical,Sub-clinical_Studio_Pct,Care_manager,Care_manager_Studio_Pct,Chaplain,Chaplain_Studio_Pct,Clinician,Clinician_Studio_Pct,Coach,Coach_Studio_Pct,Other,Other_Studio_Pct,Peer,Peer_Studio_Pct,Psychiatrist,Psychiatrist_Studio_Pct,Psychologist,Psychologist_Studio_Pct,Undefined,Undefined_Studio_Pct,Total,Total_Studio_Pct,Total,Total_Studio_Pct,App,App_Studio_Pct,Article,Article_Studio_Pct,Podcast,Podcast_Studio_Pct,Video,Video_Studio_Pct,Worksheet,Worksheet_Studio_Pct
Year,Connect with Support,In the Studio,On Your Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,1,57.0,0.5089285714285714,5.0,0.625,52.0,0.5,5.0,0.625,0.0,,6.0,0.5454545454545454,0.0,,46.0,0.4946236559139785,27.0,0.5094339622641509,9.0,0.42857142857142855,17.0,0.5483870967741935,1.0,1.0,24.0,0.4897959183673469,3.0,0.75,84.0,0.7241379310344828,64.0,0.7710843373493976,20.0,0.6060606060606061,0.0,,3.0,0.75,54.0,0.7605633802816901,17.0,0.5862068965517241,0.0,,0.0,,10.0,0.8333333333333334,0.0,,0.0,,4.0,0.5714285714285714,211.0,1.0,0.0,,96.0,1.0,23.0,1.0,77.0,1.0,15.0,1.0
2021,0,0,0,9454.0,0.8888679954870252,8200.0,0.9058771542200619,1254.0,0.7916666666666666,8200.0,0.9058771542200619,0.0,,594.0,0.7774869109947644,88.0,1.0,572.0,0.7814207650273224,347.0,0.917989417989418,171.0,0.9293478260869565,141.0,0.9038461538461539,35.0,0.9210526315789473,303.0,0.9181818181818182,44.0,0.9166666666666666,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,0,0,1,1182.0,0.11113200451297481,852.0,0.09412284577993814,330.0,0.20833333333333334,852.0,0.09412284577993814,0.0,,170.0,0.22251308900523561,0.0,0.0,160.0,0.2185792349726776,31.0,0.082010582010582,13.0,0.07065217391304347,15.0,0.09615384615384616,3.0,0.07894736842105263,27.0,0.08181818181818182,4.0,0.08333333333333333,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,3366.0,1.0,0.0,,885.0,1.0,1375.0,1.0,1089.0,1.0,17.0,1.0
2021,0,1,0,718.0,0.7230614300100705,460.0,0.8156028368794326,258.0,0.6013986013986014,460.0,0.8156028368794326,0.0,,149.0,0.6157024793388429,0.0,,109.0,0.5828877005347594,29.0,0.5918367346938775,20.0,0.6451612903225806,7.0,0.4666666666666667,2.0,0.6666666666666666,28.0,0.6511627906976745,1.0,0.16666666666666666,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,799.0,0.7217705510388437,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,0,1,1,275.0,0.2769385699899295,104.0,0.18439716312056736,171.0,0.3986013986013986,104.0,0.18439716312056736,0.0,,93.0,0.384297520661157,0.0,,78.0,0.41711229946524064,20.0,0.40816326530612246,11.0,0.3548387096774194,8.0,0.5333333333333333,1.0,0.3333333333333333,15.0,0.3488372093023256,5.0,0.8333333333333334,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,308.0,0.27822944896115626,918.0,1.0,0.0,,206.0,1.0,526.0,1.0,183.0,1.0,3.0,1.0
2021,1,0,0,845.0,0.9646118721461188,555.0,0.980565371024735,290.0,0.9354838709677419,555.0,0.980565371024735,0.0,,135.0,0.9375,0.0,,155.0,0.9337349397590361,301.0,0.9093655589123867,131.0,0.9097222222222222,143.0,0.910828025477707,27.0,0.9,269.0,0.9087837837837838,32.0,0.9142857142857143,1215.0,0.9080717488789237,857.0,0.9117021276595745,358.0,0.8994974874371859,138.0,0.9324324324324325,7.0,0.875,714.0,0.9072426937738246,212.0,0.8796680497925311,0.0,,1.0,1.0,143.0,0.934640522875817,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021,1,0,1,31.0,0.03538812785388128,11.0,0.019434628975265017,20.0,0.06451612903225806,11.0,0.019434628975265017,0.0,,9.0,0.0625,0.0,,11.0,0.06626506024096386,30.0,0.09063444108761329,13.0,0.09027777777777778,14.0,0.08917197452229299,3.0,0.1,27.0,0.09121621621621621,3.0,0.08571428571428572,123.0,0.09192825112107623,83.0,0.08829787234042553,40.0,0.10050251256281408,10.0,0.06756756756756757,1.0,0.125,73.0,0.09275730622617535,29.0,0.12033195020746888,0.0,,0.0,0.0,10.0,0.06535947712418301,0.0,,0.0,,0.0,,107.0,1.0,0.0,,29.0,1.0,36.0,1.0,42.0,1.0,0.0,
2021,1,1,0,53.0,0.6162790697674418,14.0,0.7777777777777778,39.0,0.5735294117647058,14.0,0.7777777777777778,0.0,,19.0,0.5135135135135135,0.0,,20.0,0.6451612903225806,36.0,0.5901639344262295,8.0,0.36363636363636365,25.0,0.7352941176470589,3.0,0.6,29.0,0.58,7.0,0.6363636363636364,73.0,0.477124183006536,52.0,0.5252525252525253,21.0,0.3888888888888889,7.0,0.5833333333333334,1.0,1.0,44.0,0.5238095238095238,13.0,0.3170731707317073,0.0,,0.0,,8.0,0.5333333333333333,0.0,,0.0,,62.0,0.4189189189189189,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021,1,1,1,33.0,0.38372093023255816,4.0,0.2222222222222222,29.0,0.4264705882352941,4.0,0.2222222222222222,0.0,,18.0,0.4864864864864865,0.0,,11.0,0.3548387096774194,25.0,0.4098360655737705,14.0,0.6363636363636364,9.0,0.2647058823529412,2.0,0.4,21.0,0.42,4.0,0.36363636363636365,80.0,0.5228758169934641,47.0,0.47474747474747475,33.0,0.6111111111111112,5.0,0.4166666666666667,0.0,0.0,40.0,0.47619047619047616,28.0,0.6829268292682927,0.0,,0.0,,7.0,0.4666666666666667,0.0,,0.0,,86.0,0.581081081081081,204.0,1.0,0.0,,95.0,1.0,51.0,1.0,58.0,1.0,0.0,
2022,0,0,0,9988.0,0.8709452389257063,7629.0,0.887093023255814,2359.0,0.8225244072524407,7629.0,0.887093023255814,0.0,,1661.0,0.8346733668341708,0.0,,698.0,0.7949886104783599,324.0,0.9,154.0,0.8901734104046243,139.0,0.9025974025974026,31.0,0.9393939393939394,273.0,0.8892508143322475,51.0,0.9622641509433962,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
