Entity,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Group Sessions,Group Sessions,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views
Group,Aggregate,Aggregate,Account Type,Account Type,Account Type,Account Type,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Account Source,Aggregate,Aggregate,Triage Level,Triage Level,Triage Level,Triage Level,Triage Level,Triage Level,Crisis Flag,Crisis Flag,Crisis Flag,Crisis Flag,Aggregate,Aggregate,Clinical Level,Clinical Level,Clinical Level,Clinical Level,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Aggregate,Aggregate,Aggregate,Aggregate,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type,Content Type
Metric,Total,Total_Group_Pct,Anonymous,Anonymous_Group_Pct,Verified,Verified_Group_Pct,Anonymous,Anonymous_Group_Pct,Email_password,Email_password_Group_Pct,Penn_key_sso,Penn_key_sso_Group_Pct,Penn_mpm_sso,Penn_mpm_sso_Group_Pct,Penn_sso,Penn_sso_Group_Pct,Total,Total_Group_Pct,Mild,Mild_Group_Pct,Moderate,Moderate_Group_Pct,Severe,Severe_Group_Pct,No,No_Group_Pct,Yes,Yes_Group_Pct,Total,Total_Group_Pct,Clinical,Clinical_Group_Pct,Sub-clinical,Sub-clinical_Group_Pct,Care_manager,Care_manager_Group_Pct,Chaplain,Chaplain_Group_Pct,Clinician,Clinician_Group_Pct,Coach,Coach_Group_Pct,Other,Other_Group_Pct,Peer,Peer_Group_Pct,Psychiatrist,Psychiatrist_Group_Pct,Psychologist,Psychologist_Group_Pct,Undefined,Undefined_Group_Pct,Total,Total_Group_Pct,Total,Total_Group_Pct,App,App_Group_Pct,Article,Article_Group_Pct,Podcast,Podcast_Group_Pct,Video,Video_Group_Pct,Worksheet,Worksheet_Group_Pct
Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,13543.0,1.0,9485.0,0.7003618105294248,4058.0,0.2996381894705752,9485.0,0.7003618105294248,1.0,7.383888355608063e-05,542.0,0.040020674887395705,0.0,0.0,3515.0,0.25954367569962344,1027.0,1.0,441.0,0.4294060370009737,488.0,0.47517039922103216,98.0,0.09542356377799416,908.0,0.8841285296981499,119.0,0.11587147030185005,1438.0,1.0,1066.0,0.741307371349096,372.0,0.25869262865090403,2.0,0.0013908205841446453,18.0,0.012517385257301807,794.0,0.5521557719054242,341.0,0.23713490959666203,1.0,0.0006954102920723226,10.0,0.006954102920723227,272.0,0.18915159944367177,0.0,0.0,0.0,0.0,11.0,1.0,5053.0,1.0,0.0,0.0,2289.0,0.45299821887987335,872.0,0.17257075004947556,1652.0,0.3269344943597863,240.0,0.04749653671086483
2021,12591.0,1.0,10200.0,0.8101024541339051,2391.0,0.18989754586609484,10200.0,0.8101024541339051,0.0,0.0,1187.0,0.0942736875546025,88.0,0.006989119212135652,1116.0,0.08863473909935668,819.0,1.0,381.0,0.4652014652014652,362.0,0.442002442002442,76.0,0.0927960927960928,719.0,0.8778998778998779,100.0,0.1221001221001221,1491.0,1.0,1039.0,0.6968477531857814,452.0,0.30315224681421865,160.0,0.10731052984574112,9.0,0.006036217303822937,871.0,0.5841716968477532,282.0,0.1891348088531187,0.0,0.0,1.0,0.0006706908115358819,168.0,0.11267605633802817,0.0,0.0,0.0,0.0,1255.0,1.0,4595.0,1.0,0.0,0.0,1215.0,0.264417845484222,1988.0,0.4326441784548422,1372.0,0.2985854189336235,20.0,0.004352557127312296
2022,15095.0,1.0,10557.0,0.6993706525339516,4538.0,0.30062934746604836,10557.0,0.6993706525339516,0.0,0.0,3035.0,0.20105995362702883,0.0,0.0,1503.0,0.09956939383901954,649.0,1.0,299.0,0.46070878274268107,304.0,0.46841294298921415,46.0,0.07087827426810478,567.0,0.8736517719568567,82.0,0.1263482280431433,1199.0,1.0,569.0,0.4745621351125938,630.0,0.5254378648874062,343.0,0.28607172643869894,4.0,0.003336113427856547,566.0,0.47206005004170143,264.0,0.22018348623853212,1.0,0.0008340283569641367,0.0,0.0,3.0,0.0025020850708924102,0.0,0.0,18.0,0.015012510425354461,6395.0,1.0,8716.0,1.0,2.0,0.0002294630564479119,1182.0,0.13561266636071592,5261.0,0.6036025699862322,2254.0,0.2586048646167967,17.0,0.001950435979807251
2023,7683.0,1.0,3010.0,0.3917740465963816,4673.0,0.6082259534036184,3010.0,0.3917740465963816,0.0,0.0,2015.0,0.2622673434856176,0.0,0.0,2658.0,0.34595860991800076,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,787.0,1.0,318.0,0.4040660736975858,469.0,0.5959339263024143,0.0,0.0,15.0,0.01905972045743329,318.0,0.4040660736975858,192.0,0.24396442185514614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262.0,0.33290978398983484,5923.0,1.0,3485.0,1.0,67.0,0.019225251076040173,888.0,0.25480631276901006,1516.0,0.43500717360114777,996.0,0.28579626972740313,18.0,0.005164992826398852
2024,1188.0,1.0,306.0,0.25757575757575757,882.0,0.7424242424242424,306.0,0.25757575757575757,0.0,0.0,417.0,0.351010101010101,0.0,0.0,465.0,0.39141414141414144,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,202.0,1.0,88.0,0.43564356435643564,114.0,0.5643564356435643,0.0,0.0,8.0,0.039603960396039604,88.0,0.43564356435643564,36.0,0.1782178217821782,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.04455445544554455,61.0,0.30198019801980197,1629.0,1.0,442.0,1.0,4.0,0.00904977375565611,98.0,0.22171945701357465,111.0,0.251131221719457,225.0,0.5090497737556561,4.0,0.00904977375565611
All Time,50100.0,1.0,33558.0,0.6698203592814371,16542.0,0.3301796407185629,33558.0,0.6698203592814371,1.0,1.9960079840319362e-05,7196.0,0.1436327345309381,88.0,0.0017564870259481038,9257.0,0.1847704590818363,2495.0,1.0,1121.0,0.4492985971943888,1154.0,0.4625250501002004,220.0,0.08817635270541083,2194.0,0.8793587174348697,301.0,0.12064128256513026,5117.0,1.0,3080.0,0.6019151846785226,2037.0,0.39808481532147744,505.0,0.0986906390463162,54.0,0.010553058432675396,2637.0,0.5153410201289819,1115.0,0.21790111393394568,2.0,0.00039085401602501464,11.0,0.0021496970881375805,443.0,0.08657416454954074,9.0,0.0017588430721125659,341.0,0.066640609732265,15213.0,1.0,22291.0,1.0,73.0,0.0032748642950069535,5672.0,0.2544524696065677,9748.0,0.4373065362702436,6499.0,0.29155264456507113,299.0,0.013413485263110673
