,mild,moderate,severe,total,mild_rel_prop,moderate_rel_prop,severe_rel_prop,account_id,mild_acct_rate,moderate_acct_rate,severe_acct_rate,total_acct_rate,mild_acct_rate100,moderate_acct_rate100,severe_acct_rate100,total_acct_rate100
count,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0
mean,39.6551724137931,40.48275862068966,7.620689655172414,87.75862068965517,0.4636778745976471,0.45144742132136106,0.08487470408099186,1309.2068965517242,0.032454113645238564,0.03262890571038745,0.006351073738134056,0.07143409309376009,3.2454113645238567,3.2628905710387452,0.6351073738134054,7.143409309376006
std,15.712315147381698,19.827147135853863,4.083186720332962,37.64368204665368,0.07018706707141394,0.05421991803844743,0.03727959425323775,518.3970058411069,0.01336951858357256,0.015148560508019644,0.0038816746472155814,0.030871467042062724,1.336951858357256,1.514856050801964,0.3881674647215581,3.087146704206272
min,17.0,8.0,0.0,25.0,0.3333333333333333,0.32,0.0,740.0,0.014044943820224719,0.0073937153419593345,0.0,0.02310536044362292,1.4044943820224718,0.7393715341959335,0.0,2.310536044362292
25%,32.0,25.0,5.0,60.0,0.4166666666666667,0.42105263157894735,0.058394160583941604,950.0,0.0226628895184136,0.02286282306163022,0.003708281829419036,0.050784856879039705,2.26628895184136,2.286282306163022,0.3708281829419036,5.078485687903971
50%,36.0,32.0,7.0,75.0,0.4489795918367347,0.44696969696969696,0.09090909090909091,1125.0,0.029272151898734177,0.030902348578491966,0.00631578947368421,0.06451612903225806,2.9272151898734178,3.0902348578491967,0.631578947368421,6.451612903225806
75%,51.0,53.0,10.0,116.0,0.5,0.49074074074074076,0.10869565217391304,1621.0,0.03955500618046971,0.03779527559055118,0.007551240560949299,0.08090614886731391,3.955500618046971,3.779527559055118,0.7551240560949299,8.090614886731391
max,91.0,94.0,14.0,195.0,0.68,0.5555555555555556,0.15789473684210525,3004.0,0.06909547738693467,0.07914572864321608,0.01507537688442211,0.16080402010050251,6.909547738693467,7.914572864321608,1.507537688442211,16.08040201005025
