year,month,mild,moderate,severe,total,mild_rel_prop,moderate_rel_prop,severe_rel_prop,account_id,mild_acct_rate,moderate_acct_rate,severe_acct_rate,total_acct_rate,mild_acct_rate100,moderate_acct_rate100,severe_acct_rate100,total_acct_rate100
2020,4,53.0,63.0,14.0,130.0,0.4076923076923077,0.4846153846153846,0.1076923076923077,3004,0.017643142476697737,0.020972037283621837,0.004660452729693742,0.043275632490013316,1.7643142476697737,2.097203728362184,0.4660452729693742,4.327563249001331
2020,5,51.0,51.0,14.0,116.0,0.4396551724137931,0.4396551724137931,0.1206896551724138,1919,0.026576341844710787,0.026576341844710787,0.007295466388744137,0.06044815007816571,2.6576341844710787,2.6576341844710787,0.7295466388744137,6.044815007816571
2020,6,54.0,72.0,13.0,139.0,0.38848920863309355,0.5179856115107914,0.09352517985611511,1905,0.028346456692913385,0.03779527559055118,0.0068241469816272965,0.07296587926509186,2.8346456692913384,3.779527559055118,0.6824146981627297,7.296587926509186
2020,7,53.0,66.0,14.0,133.0,0.39849624060150374,0.49624060150375937,0.10526315789473684,1148,0.046167247386759584,0.05749128919860627,0.012195121951219513,0.11585365853658537,4.616724738675958,5.7491289198606275,1.2195121951219512,11.585365853658537
2020,8,55.0,63.0,10.0,128.0,0.4296875,0.4921875,0.078125,796,0.06909547738693467,0.07914572864321608,0.01256281407035176,0.16080402010050251,6.909547738693467,7.914572864321608,1.256281407035176,16.08040201005025
2020,9,34.0,34.0,7.0,75.0,0.4533333333333333,0.4533333333333333,0.09333333333333334,927,0.036677454153182305,0.036677454153182305,0.007551240560949299,0.08090614886731391,3.6677454153182305,3.6677454153182305,0.7551240560949299,8.090614886731391
2020,10,61.0,59.0,12.0,132.0,0.4621212121212121,0.44696969696969696,0.09090909090909091,1457,0.041866849691146193,0.04049416609471517,0.008236101578586136,0.09059711736444749,4.186684969114619,4.049416609471517,0.8236101578586137,9.059711736444749
2020,11,47.0,53.0,8.0,108.0,0.4351851851851852,0.49074074074074076,0.07407407407407407,1125,0.041777777777777775,0.04711111111111111,0.0071111111111111115,0.096,4.177777777777777,4.711111111111111,0.7111111111111111,9.6
2020,12,37.0,32.0,7.0,76.0,0.4868421052631579,0.42105263157894735,0.09210526315789473,1264,0.029272151898734177,0.02531645569620253,0.005537974683544304,0.060126582278481014,2.9272151898734178,2.5316455696202533,0.5537974683544303,6.012658227848101
2021,1,43.0,44.0,12.0,99.0,0.43434343434343436,0.4444444444444444,0.12121212121212122,796,0.05402010050251256,0.05527638190954774,0.01507537688442211,0.12437185929648241,5.402010050251256,5.527638190954774,1.507537688442211,12.43718592964824
2021,2,36.0,24.0,5.0,65.0,0.5538461538461539,0.36923076923076925,0.07692307692307693,1574,0.022871664548919948,0.015247776365946633,0.0031766200762388818,0.041296060991105464,2.2871664548919948,1.5247776365946633,0.3176620076238882,4.129606099110546
2021,3,45.0,37.0,10.0,92.0,0.4891304347826087,0.40217391304347827,0.10869565217391304,740,0.060810810810810814,0.05,0.013513513513513514,0.12432432432432433,6.081081081081082,5.0,1.3513513513513513,12.432432432432433
2021,4,25.0,32.0,3.0,60.0,0.4166666666666667,0.5333333333333333,0.05,1780,0.014044943820224719,0.017977528089887642,0.0016853932584269663,0.033707865168539325,1.4044943820224718,1.7977528089887642,0.16853932584269662,3.3707865168539324
2021,5,18.0,30.0,6.0,54.0,0.3333333333333333,0.5555555555555556,0.1111111111111111,837,0.021505376344086023,0.035842293906810034,0.007168458781362007,0.06451612903225806,2.1505376344086025,3.584229390681003,0.7168458781362007,6.451612903225806
2021,6,29.0,27.0,7.0,63.0,0.4603174603174603,0.42857142857142855,0.1111111111111111,839,0.03456495828367104,0.03218116805721097,0.00834326579261025,0.07508939213349225,3.4564958283671037,3.2181168057210967,0.834326579261025,7.508939213349225
2021,7,32.0,25.0,3.0,60.0,0.5333333333333333,0.4166666666666667,0.05,809,0.03955500618046971,0.030902348578491966,0.003708281829419036,0.07416563658838071,3.955500618046971,3.0902348578491967,0.3708281829419036,7.416563658838071
2021,8,24.0,24.0,7.0,55.0,0.43636363636363634,0.43636363636363634,0.12727272727272726,1059,0.0226628895184136,0.0226628895184136,0.0066100094428706326,0.05193578847969783,2.26628895184136,2.26628895184136,0.6610009442870632,5.193578847969783
2021,9,35.0,30.0,4.0,69.0,0.5072463768115942,0.43478260869565216,0.057971014492753624,1155,0.030303030303030304,0.025974025974025976,0.003463203463203463,0.05974025974025974,3.0303030303030303,2.5974025974025974,0.3463203463203463,5.974025974025974
2021,10,33.0,31.0,12.0,76.0,0.4342105263157895,0.40789473684210525,0.15789473684210525,995,0.033165829145728645,0.031155778894472363,0.012060301507537688,0.0763819095477387,3.3165829145728645,3.1155778894472363,1.2060301507537687,7.63819095477387
2021,11,36.0,30.0,6.0,72.0,0.5,0.4166666666666667,0.08333333333333333,950,0.037894736842105266,0.031578947368421054,0.00631578947368421,0.07578947368421053,3.7894736842105265,3.1578947368421053,0.631578947368421,7.578947368421053
2021,12,32.0,29.0,1.0,62.0,0.5161290322580645,0.46774193548387094,0.016129032258064516,1061,0.030160226201696512,0.027332704995287466,0.000942507068803016,0.058435438265786996,3.016022620169651,2.7332704995287465,0.0942507068803016,5.843543826578699
2022,1,91.0,94.0,10.0,195.0,0.4666666666666667,0.48205128205128206,0.05128205128205128,1980,0.04595959595959596,0.047474747474747475,0.005050505050505051,0.09848484848484848,4.595959595959596,4.747474747474747,0.5050505050505051,9.848484848484848
