content_type_id,content_count,view_count,views_per_content
APP,3,7,2.3333333333333335
ARTICLE,34,59,1.7352941176470589
PODCAST,10,33,3.3
VIDEO,15,372,24.8
WORKSHEET,2,7,3.5
