Year,Month,Week,mild,moderate,severe,total,mild_rel_prop,moderate_rel_prop,severe_rel_prop,account_id,mild_acct_rate,moderate_acct_rate,severe_acct_rate,total_acct_rate,mild_acct_rate100,moderate_acct_rate100,severe_acct_rate100,total_acct_rate100
2020,4,9,19.0,25.0,11.0,55.0,0.34545454545454546,0.45454545454545453,0.2,1456,0.01304945054945055,0.017170329670329672,0.007554945054945055,0.03777472527472527,1.304945054945055,1.7170329670329672,0.7554945054945055,3.7774725274725274
2020,4,16,22.0,19.0,3.0,44.0,0.5,0.4318181818181818,0.06818181818181818,946,0.023255813953488372,0.0200845665961945,0.003171247357293869,0.046511627906976744,2.3255813953488373,2.00845665961945,0.3171247357293869,4.651162790697675
2020,4,23,11.0,19.0,0.0,30.0,0.36666666666666664,0.6333333333333333,0.0,524,0.02099236641221374,0.03625954198473282,0.0,0.05725190839694656,2.099236641221374,3.6259541984732824,0.0,5.7251908396946565
2020,4,30,13.0,13.0,4.0,30.0,0.43333333333333335,0.43333333333333335,0.13333333333333333,729,0.01783264746227709,0.01783264746227709,0.0054869684499314125,0.0411522633744856,1.7832647462277091,1.7832647462277091,0.5486968449931412,4.11522633744856
2020,5,7,11.0,17.0,5.0,33.0,0.3333333333333333,0.5151515151515151,0.15151515151515152,528,0.020833333333333332,0.032196969696969696,0.00946969696969697,0.0625,2.083333333333333,3.2196969696969697,0.946969696969697,6.25
2020,5,14,16.0,11.0,4.0,31.0,0.5161290322580645,0.3548387096774194,0.12903225806451613,355,0.04507042253521127,0.030985915492957747,0.011267605633802818,0.08732394366197183,4.507042253521127,3.0985915492957745,1.1267605633802817,8.732394366197182
2020,5,21,10.0,6.0,0.0,16.0,0.625,0.375,0.0,230,0.043478260869565216,0.02608695652173913,0.0,0.06956521739130435,4.3478260869565215,2.608695652173913,0.0,6.956521739130435
2020,5,28,11.0,13.0,1.0,25.0,0.44,0.52,0.04,491,0.02240325865580448,0.026476578411405296,0.002036659877800407,0.05091649694501019,2.240325865580448,2.6476578411405294,0.20366598778004072,5.091649694501019
2020,6,4,16.0,19.0,2.0,37.0,0.43243243243243246,0.5135135135135135,0.05405405405405406,625,0.0256,0.0304,0.0032,0.0592,2.56,3.04,0.32,5.92
2020,6,11,9.0,14.0,2.0,25.0,0.36,0.56,0.08,371,0.02425876010781671,0.03773584905660377,0.005390835579514825,0.0673854447439353,2.4258760107816713,3.7735849056603774,0.5390835579514826,6.738544474393531
2020,6,18,13.0,16.0,6.0,35.0,0.37142857142857144,0.45714285714285713,0.17142857142857143,358,0.036312849162011177,0.0446927374301676,0.01675977653631285,0.09776536312849161,3.6312849162011176,4.4692737430167595,1.675977653631285,9.776536312849162
2020,6,25,12.0,17.0,4.0,33.0,0.36363636363636365,0.5151515151515151,0.12121212121212122,267,0.0449438202247191,0.06367041198501873,0.0149812734082397,0.12359550561797752,4.49438202247191,6.367041198501873,1.4981273408239701,12.359550561797752
2020,7,2,10.0,16.0,2.0,28.0,0.35714285714285715,0.5714285714285714,0.07142857142857142,209,0.04784688995215311,0.07655502392344497,0.009569377990430622,0.1339712918660287,4.784688995215311,7.655502392344498,0.9569377990430622,13.397129186602871
2020,7,9,14.0,19.0,2.0,35.0,0.4,0.5428571428571428,0.05714285714285714,406,0.034482758620689655,0.046798029556650245,0.0049261083743842365,0.08620689655172414,3.4482758620689653,4.679802955665025,0.49261083743842365,8.620689655172415
2020,7,16,9.0,14.0,6.0,29.0,0.3103448275862069,0.4827586206896552,0.20689655172413793,184,0.04891304347826087,0.07608695652173914,0.03260869565217391,0.15760869565217392,4.891304347826087,7.608695652173914,3.260869565217391,15.760869565217392
2020,7,23,10.0,12.0,2.0,24.0,0.4166666666666667,0.5,0.08333333333333333,224,0.044642857142857144,0.05357142857142857,0.008928571428571428,0.10714285714285714,4.464285714285714,5.357142857142857,0.8928571428571428,10.714285714285714
2020,7,30,15.0,14.0,2.0,31.0,0.4838709677419355,0.45161290322580644,0.06451612903225806,193,0.07772020725388601,0.07253886010362694,0.010362694300518135,0.16062176165803108,7.772020725388601,7.253886010362693,1.0362694300518136,16.06217616580311
2020,8,6,14.0,16.0,2.0,32.0,0.4375,0.5,0.0625,211,0.06635071090047394,0.07582938388625593,0.009478672985781991,0.15165876777251186,6.6350710900473935,7.5829383886255926,0.9478672985781991,15.165876777251185
2020,8,13,17.0,19.0,2.0,38.0,0.4473684210526316,0.5,0.05263157894736842,189,0.08994708994708994,0.10052910052910052,0.010582010582010581,0.20105820105820105,8.994708994708994,10.052910052910052,1.0582010582010581,20.105820105820104
2020,8,20,8.0,15.0,3.0,26.0,0.3076923076923077,0.5769230769230769,0.11538461538461539,190,0.042105263157894736,0.07894736842105263,0.015789473684210527,0.1368421052631579,4.2105263157894735,7.894736842105263,1.5789473684210527,13.684210526315791
2020,8,27,5.0,2.0,2.0,9.0,0.5555555555555556,0.2222222222222222,0.2222222222222222,124,0.04032258064516129,0.016129032258064516,0.016129032258064516,0.07258064516129033,4.032258064516129,1.6129032258064515,1.6129032258064515,7.258064516129033
2020,9,10,18.0,11.0,2.0,31.0,0.5806451612903226,0.3548387096774194,0.06451612903225806,154,0.11688311688311688,0.07142857142857142,0.012987012987012988,0.2012987012987013,11.688311688311687,7.142857142857142,1.2987012987012987,20.12987012987013
2020,9,17,7.0,15.0,3.0,25.0,0.28,0.6,0.12,340,0.020588235294117647,0.04411764705882353,0.008823529411764706,0.07352941176470588,2.0588235294117645,4.411764705882353,0.8823529411764706,7.352941176470589
