,num_apts,num_accts
0,1,2555
1,2,401
2,3,129
3,4,63
4,5,32
5,6,20
6,7,17
7,8,10
8,9,4
9,10,3
10,11,3
11,12,5
12,14,3
13,16,1
14,18,1
15,19,1
16,20,1
17,21,4
18,23,1
19,31,1
