,mild,moderate,severe,total,mild_rel_prop,moderate_rel_prop,severe_rel_prop,account_id,mild_acct_rate,moderate_acct_rate,severe_acct_rate,total_acct_rate,mild_acct_rate100,moderate_acct_rate100,severe_acct_rate100,total_acct_rate100
count,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0
mean,39.6551724137931,40.48275862068966,7.620689655172414,87.75862068965517,0.4640425782116134,0.4510714491825987,0.08488597260578792,1309.1379310344828,0.03246790350449163,0.03259934094199838,0.006351461892763839,0.07141870633925386,3.246790350449163,3.259934094199838,0.6351461892763839,7.141870633925382
std,15.56845680504784,19.897273125544423,4.083186720332962,37.52965986334179,0.07153409741695159,0.055120934602918455,0.037309933365032966,518.3048416395462,0.013350972501301218,0.015145503595290499,0.003881736881730038,0.030807153343443687,1.335097250130122,1.5145503595290497,0.3881736881730038,3.0807153343443696
min,17.0,8.0,0.0,25.0,0.3333333333333333,0.32,0.0,740.0,0.014044943820224719,0.0073937153419593345,0.0,0.02310536044362292,1.4044943820224718,0.7393715341959335,0.0,2.310536044362292
25%,32.0,25.0,5.0,60.0,0.4166666666666667,0.42105263157894735,0.058394160583941604,950.0,0.0226628895184136,0.02286282306163022,0.0037128712871287127,0.050784856879039705,2.26628895184136,2.286282306163022,0.3712871287128713,5.078485687903971
50%,36.0,32.0,7.0,75.0,0.4489795918367347,0.44696969696969696,0.09090909090909091,1125.0,0.029272151898734177,0.0297029702970297,0.00631578947368421,0.06451612903225806,2.9272151898734178,2.9702970297029703,0.631578947368421,6.451612903225806
75%,51.0,53.0,10.0,116.0,0.5068493150684932,0.49074074074074076,0.10869565217391304,1621.0,0.039603960396039604,0.03779527559055118,0.007551240560949299,0.08090614886731391,3.9603960396039604,3.779527559055118,0.7551240560949299,8.090614886731391
max,90.0,94.0,14.0,194.0,0.68,0.5555555555555556,0.15789473684210525,3003.0,0.06909547738693467,0.07914572864321608,0.01507537688442211,0.16080402010050251,6.909547738693467,7.914572864321608,1.507537688442211,16.08040201005025
