,mild,moderate,severe,total,mild_rel_prop,moderate_rel_prop,severe_rel_prop,account_id,mild_acct_rate,moderate_acct_rate,severe_acct_rate,total_acct_rate,mild_acct_rate100,moderate_acct_rate100,severe_acct_rate100,total_acct_rate100
count,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0
mean,9.50413223140496,9.702479338842975,1.8264462809917354,21.03305785123967,0.45628996870895316,0.4518171561182147,0.09189287517283233,306.6280991735537,0.03639792045533064,0.036533267443051166,0.00712322386052847,0.08005441175891025,3.6397920455330643,3.6533267443051143,0.7123223860528467,8.005441175891026
std,5.980696680351641,6.459675724703178,1.661714405618552,12.287482712295411,0.12240146888580986,0.1281457707990153,0.07355879221127651,186.92918143115963,0.022721325792474274,0.024294583871031873,0.007200329504501417,0.04631895846805075,2.272132579247427,2.4294583871031885,0.7200329504501409,4.631895846805079
min,1.0,1.0,0.0,6.0,0.09090909090909091,0.07692307692307693,0.0,104.0,0.003952569169960474,0.0022624434389140274,0.0,0.013636363636363636,0.3952569169960474,0.22624434389140274,0.0,1.3636363636363635
25%,6.0,5.0,1.0,13.0,0.36666666666666664,0.375,0.047619047619047616,184.0,0.0213903743315508,0.0196078431372549,0.002053388090349076,0.05091649694501019,2.13903743315508,1.9607843137254901,0.20533880903490762,5.091649694501019
50%,9.0,8.0,2.0,18.0,0.45,0.45454545454545453,0.07692307692307693,253.0,0.03162055335968379,0.0304,0.005305039787798408,0.06722689075630252,3.1620553359683794,3.04,0.5305039787798408,6.722689075630252
75%,12.0,13.0,3.0,26.0,0.5294117647058824,0.5238095238095238,0.13333333333333333,370.0,0.044642857142857144,0.046798029556650245,0.010362694300518135,0.09444444444444444,4.464285714285714,4.679802955665025,1.0362694300518136,9.444444444444445
max,53.0,49.0,11.0,105.0,0.8333333333333334,0.7777777777777778,0.3076923076923077,1456.0,0.125,0.1346153846153846,0.03787878787878788,0.2692307692307692,12.5,13.461538461538462,3.787878787878788,26.923076923076923
