support_role_id,apt_total,apt_mean_week,apt_median_week,apt_stddev_week
CARE_MANAGER,1580.0,8.777777777777779,9.0,6.551519552131514
CHAPLAIN,38.0,0.2111111111111111,0.0,0.46061519330177786
CLINICIAN,1361.0,7.561111111111111,4.0,8.053705132192274
COACH,1024.0,5.688888888888889,5.0,4.163272360459002
OTHER,2.0,0.011111111111111112,0.0,0.10511440369749667
PEER,11.0,0.06111111111111111,0.0,0.28291951377114655
PSYCHIATRIST,443.0,2.4611111111111112,0.0,3.7197403178552726
UNDEFINED,205.0,1.1388888888888888,0.0,2.45350937551536
