,,Word_1,Word_2,Word_3,Word_4,Word_5,Word_6,Word_7,Word_8,Word_9,Word_10,Word_11,Word_12,Word_13,Word_14,Word_15,Word_16,Word_17,Word_18,Word_19,Word_20
Topic_0,word,self,need,link,break,tip,care,time,recommendation,calendar,way,session,always,management,many,attendee,several,substance,title,burnout,burn
Topic_0,value,0.025017196,0.025006503,0.024888549,0.024888514,0.024887096,0.02488602,0.017318554,0.014054209,0.012749262,0.012730622,0.012720585,0.012687274,0.012567799,0.012567605,0.012567574,0.012567526,0.0125675155,0.012567394,0.012567323,0.012567287
Topic_1,word,other,learn,self,maybe,need,help,trauma,population,effect,share,think,habit,mention,make,much,new,target,happiness,bring,break
Topic_1,value,0.028240435,0.028239414,0.028239317,0.028239056,0.028238878,0.028238831,0.028238574,0.014260301,0.014260115,0.01425991,0.014259843,0.014259816,0.0142597845,0.014259632,0.014259626,0.01425962,0.01425958,0.0142595535,0.014259546,0.014259476
Topic_2,word,work,balance,life,improve,interaction,stressful,want,intentionality,personal,overall,presentation,self,care,relate,learn,job,mindfulness,concrete,distress,recent
Topic_2,value,0.04135583,0.032055493,0.032053936,0.024095342,0.016187342,0.016186733,0.016186621,0.016186483,0.016186431,0.016186398,0.016186228,0.016186131,0.01618604,0.016186003,0.016186,0.016185919,0.016185917,0.016185842,0.01618581,0.016185693
Topic_3,word,recommendation,other,action,specific,reflect,savor,time,respond,relationship,advice,value,learn,live,personal,self,know,improvement,want,affect,growth
Topic_3,value,0.04470754,0.022575656,0.022574876,0.022574533,0.022574414,0.0225743,0.02257427,0.022574173,0.022574084,0.0225739,0.022573773,0.022573402,0.022573275,0.02257325,0.022573054,0.02257298,0.022572953,0.022572743,0.02257263,0.022572147
Topic_4,word,tip,get,quick,anxiety,bad,look,seem,want,reminder,group,good,challenging,crave,always,know,trauma,immediately,practical,suggestion,sure
Topic_4,value,0.036937162,0.024705896,0.024705676,0.02470562,0.024705129,0.02470484,0.012475839,0.012475578,0.012475441,0.012475411,0.012475398,0.012475342,0.012475326,0.012475318,0.012475301,0.012475248,0.012475228,0.012475183,0.0124751525,0.012475112
Topic_5,word,work,able,think,real,relationship,topic,tool,covid,time,listen,session,moment,people,allow,communication,stress,life,record,issue,make
Topic_5,value,0.02354191,0.017685642,0.017685445,0.017685441,0.01768482,0.011829718,0.011829532,0.011829513,0.011829312,0.011829115,0.0118290875,0.01182906,0.011829055,0.011828847,0.011828823,0.011828759,0.011828759,0.011828706,0.011828619,0.011828607
