,,Word_1,Word_2,Word_3,Word_4,Word_5,Word_6,Word_7,Word_8,Word_9,Word_10,Word_11,Word_12,Word_13,Word_14,Word_15,Word_16,Word_17,Word_18,Word_19,Word_20
Topic_0,word,hour,personal,interaction,thing,navigate,validate,adolescent,feel,offer,financial,say,well,participant,coaching,nteraction,difficult,holiday,instead,half,learn
Topic_0,value,0.038342666,0.038341854,0.038339745,0.01936199,0.01936141,0.019361334,0.019361133,0.019361025,0.019360892,0.019360824,0.019360797,0.019360797,0.019360725,0.019360697,0.019360676,0.019360667,0.01936062,0.019360565,0.019360555,0.01936054
Topic_1,word,loss,skill,general,already,expect,organizational,tip,way,first,free,counseling,knowledge,cope,hone,offer,invitation,anxiety,baby,specific,grief
Topic_1,value,0.044215996,0.02232852,0.022328338,0.022328109,0.022327986,0.022327686,0.022327466,0.022327349,0.022327336,0.022327298,0.022327267,0.022327054,0.022327041,0.022326894,0.022326795,0.022326745,0.022326693,0.0223266,0.02232658,0.022326544
Topic_2,word,change,time,make,find,people,way,pay,community,event,avenue,friend,session,sleep,think,join,go,mindfulness,recommendation,applicable,medicine
Topic_2,value,0.035361193,0.026565129,0.026565105,0.02656483,0.026564498,0.017769355,0.017769298,0.017769203,0.01776913,0.01776903,0.017768955,0.017768878,0.017768856,0.017768823,0.017768214,0.017767789,0.017767766,0.01776776,0.017766869,0.008972772
Topic_3,word,meeting,bit,improve,time,work,information,start,value,participant,stress,disposition,less,like,dedicate,much,suggest,presentation,well,communication,ground
Topic_3,value,0.03697341,0.024730934,0.02473025,0.02472956,0.024729466,0.024728531,0.024728093,0.012487724,0.012487694,0.0124876825,0.012487655,0.012487629,0.012487619,0.012487517,0.01248751,0.0124875,0.012487426,0.012487418,0.012487364,0.012487326
Topic_4,word,violence,philly,impact,refresher,good,chronic,client,time,severely,daily,deal,reflection,many,basis,comment,lecture,survey,social,network,incorporate
Topic_4,value,0.028585725,0.02858481,0.028584197,0.028584018,0.028583758,0.028583586,0.02858341,0.028583253,0.028583065,0.028582899,0.028582782,0.028582724,0.028582528,0.028582403,0.028582284,0.00056059734,0.00056059734,0.00056059734,0.00056059734,0.00056059734
Topic_5,word,time,feel,do,relax,lack,reflection,stress,m,interested,identify,work,parent,presentation,evolve,plan,evaluation,dread,performance,deal,love
Topic_5,value,0.050920848,0.023674607,0.017907675,0.017907612,0.01790722,0.017907163,0.017905938,0.015160589,0.0150334975,0.014359648,0.014075355,0.014020399,0.0090428805,0.00904277,0.009042723,0.009042667,0.009042651,0.0090426365,0.009042608,0.009042595
Topic_6,word,effective,care,access,life,communication,navigate,automatically,resolution,facility,man,trauma,long,offer,cobalt,change,appreciate,grieve,dad,possibly,transparency
Topic_6,value,0.02413911,0.024139093,0.024138836,0.024138805,0.024138538,0.024137793,0.012189233,0.012189229,0.012189149,0.012189141,0.012189105,0.012189076,0.012189066,0.012189054,0.012189028,0.01218902,0.0121890055,0.012189002,0.012188971,0.012188951
Topic_7,word,help,deal,helpful,grief,find,learn,caregiver,session,sleep,die,step,available,loved,polar,population,look,project,one,still,violence
Topic_7,value,0.016738487,0.016738474,0.01673845,0.016738173,0.016738169,0.01673806,0.016738057,0.016737977,0.016737591,0.01673751,0.016736232,0.0084524965,0.008452395,0.008452375,0.008452342,0.008452322,0.008452283,0.008452185,0.008452185,0.008452143
Topic_8,word,ground,helpful,population,patient,course,title,overall,survivor,stay,feel,productive,domestic,moment,action,winter,timely,work,specific,strategy,ptsd
Topic_8,value,0.022828098,0.022827782,0.022827415,0.022827322,0.022827266,0.022827215,0.022827167,0.022827119,0.022827005,0.02282697,0.022826914,0.022826834,0.02282682,0.022826606,0.022826513,0.022826437,0.022826169,0.02282614,0.02282613,0.022826066
Topic_9,word,always,m,time,great,well,hear,good,topic,reinforcement,management,interested,say,think,burn,definition,sugar,reinforce,primer,love,relate
Topic_9,value,0.02293464,0.022934314,0.022933558,0.0153404055,0.015340277,0.015340261,0.015340107,0.015340106,0.015339832,0.015339821,0.015339694,0.015339589,0.015339389,0.007746356,0.007746309,0.007746198,0.007746081,0.007746079,0.0077460655,0.0077460273
Topic_10,word,family,mom,home,holiday,activity,opportunity,manage,tip,try,love,multiple,blend,balance,alzheimer,expectation,understand,overwhelmed,stage,way,caregiver
Topic_10,value,0.04528846,0.030293053,0.030292716,0.030291457,0.015296814,0.0152966315,0.015296562,0.015296505,0.015296501,0.015296499,0.015296494,0.015296346,0.015296346,0.015296295,0.015296278,0.015296259,0.015296229,0.015296173,0.015296138,0.015296045
Topic_11,word,maintain,personal,work,life,event,stress,holiday,see,alone,support,balance,knowledgeable,recent,speaker,go,struggle,learn,resource,mental_health,intellectual
Topic_11,value,0.02570415,0.025703767,0.025703607,0.025703244,0.025703097,0.025702901,0.025702773,0.025702681,0.025702631,0.025702534,0.025702463,0.025702337,0.02570227,0.02570227,0.02570171,0.025701672,0.025701288,0.02570098,0.025700843,0.0005040915
Topic_12,word,time,recommendation,help,think,motivation,habit,good,self,value,find,make,thing,say,want,management,education,note,communication,resource,priority
Topic_12,value,0.02662268,0.022830322,0.019038077,0.015245565,0.011453402,0.011453336,0.011453321,0.011453149,0.011452695,0.007661058,0.007661013,0.007661011,0.0076609477,0.007660922,0.007660914,0.0076609114,0.0076609105,0.0076608816,0.0076608807,0.007660868
Topic_13,word,attend,way,work,get,think,suggestion,connect,colleague,interactive,react,current,interpersonal,adapt,talk,build,mood,first,network,name,anxiety
