,0
num_appt_06,0.0
num_appt_06_completed,0.0
num_appt_06_canceled,0.0
has_appt_06,0.0
has_appt_06_completed,0.0
num_appt_69,5.0
num_appt_69_completed,4.0
num_appt_69_canceled,1.0
has_appt_69,5.0
has_appt_69_completed,4.0
num_acct,321.0
has_acct,223.0
