,source,target,color,path,label,value,level
609,16,20,"rgba(192,192,192,0.2)",moderate-->moderate-->inconclusive-->inconclusive-->inconclusive,moderate-->moderate-->inconclusive-->inconclusive-->inconclusive,11,3
610,12,17,"rgba(0,0,255,0.2)",moderate-->moderately_severe-->no_symptoms-->no_symptoms-->moderate,moderate-->moderately_severe-->no_symptoms-->no_symptoms-->moderate,1,3
611,12,20,"rgba(192,192,192,0.2)",moderate-->moderately_severe-->no_symptoms-->inconclusive-->inconclusive,moderate-->moderately_severe-->no_symptoms-->inconclusive-->inconclusive,1,3
612,13,17,"rgba(0,0,255,0.2)",moderate-->moderately_severe-->mild-->no_symptoms-->moderate,moderate-->moderately_severe-->mild-->no_symptoms-->moderate,25,3
613,13,18,"rgba(255,128,0,0.2)",moderate-->moderately_severe-->mild-->followup_sensitivity-->moderate,moderate-->moderately_severe-->mild-->followup_sensitivity-->moderate,3,3
614,13,19,"rgba(255,0,0,0.2)",moderate-->moderately_severe-->mild-->followup_efficiency-->moderate,moderate-->moderately_severe-->mild-->followup_efficiency-->moderate,1,3
615,14,17,"rgba(0,0,255,0.2)",moderate-->moderately_severe-->moderate-->no_symptoms-->moderate,moderate-->moderately_severe-->moderate-->no_symptoms-->moderate,21,3
616,14,18,"rgba(255,128,0,0.2)",moderate-->moderately_severe-->moderate-->followup_sensitivity-->moderate,moderate-->moderately_severe-->moderate-->followup_sensitivity-->moderate,14,3
617,14,19,"rgba(255,0,0,0.2)",moderate-->moderately_severe-->moderate-->followup_efficiency-->moderate,moderate-->moderately_severe-->moderate-->followup_efficiency-->moderate,16,3
618,14,20,"rgba(192,192,192,0.2)",moderate-->moderately_severe-->moderate-->inconclusive-->inconclusive,moderate-->moderately_severe-->moderate-->inconclusive-->inconclusive,1,3
619,15,17,"rgba(0,0,255,0.2)",moderate-->moderately_severe-->severe-->no_symptoms-->moderate,moderate-->moderately_severe-->severe-->no_symptoms-->moderate,9,3
620,15,17,"rgba(0,0,255,0.2)",moderate-->moderately_severe-->severe-->no_symptoms-->severe,moderate-->moderately_severe-->severe-->no_symptoms-->severe,1,3
621,15,18,"rgba(255,128,0,0.2)",moderate-->moderately_severe-->severe-->followup_sensitivity-->moderate,moderate-->moderately_severe-->severe-->followup_sensitivity-->moderate,2,3
622,15,18,"rgba(255,128,0,0.2)",moderate-->moderately_severe-->severe-->followup_sensitivity-->severe,moderate-->moderately_severe-->severe-->followup_sensitivity-->severe,1,3
623,15,19,"rgba(255,0,0,0.2)",moderate-->moderately_severe-->severe-->followup_efficiency-->moderate,moderate-->moderately_severe-->severe-->followup_efficiency-->moderate,11,3
624,16,20,"rgba(192,192,192,0.2)",moderate-->moderately_severe-->inconclusive-->inconclusive-->inconclusive,moderate-->moderately_severe-->inconclusive-->inconclusive-->inconclusive,5,3
625,12,17,"rgba(0,0,255,0.2)",moderate-->severe-->no_symptoms-->no_symptoms-->severe,moderate-->severe-->no_symptoms-->no_symptoms-->severe,1,3
626,13,17,"rgba(0,0,255,0.2)",moderate-->severe-->mild-->no_symptoms-->severe,moderate-->severe-->mild-->no_symptoms-->severe,1,3
627,13,19,"rgba(255,0,0,0.2)",moderate-->severe-->mild-->followup_efficiency-->severe,moderate-->severe-->mild-->followup_efficiency-->severe,1,3
628,14,17,"rgba(0,0,255,0.2)",moderate-->severe-->moderate-->no_symptoms-->severe,moderate-->severe-->moderate-->no_symptoms-->severe,4,3
629,14,18,"rgba(255,128,0,0.2)",moderate-->severe-->moderate-->followup_sensitivity-->severe,moderate-->severe-->moderate-->followup_sensitivity-->severe,2,3
630,15,17,"rgba(0,0,255,0.2)",moderate-->severe-->severe-->no_symptoms-->severe,moderate-->severe-->severe-->no_symptoms-->severe,2,3
631,15,18,"rgba(255,128,0,0.2)",moderate-->severe-->severe-->followup_sensitivity-->severe,moderate-->severe-->severe-->followup_sensitivity-->severe,1,3
632,15,19,"rgba(255,0,0,0.2)",moderate-->severe-->severe-->followup_efficiency-->severe,moderate-->severe-->severe-->followup_efficiency-->severe,1,3
633,16,20,"rgba(192,192,192,0.2)",moderate-->severe-->inconclusive-->inconclusive-->inconclusive,moderate-->severe-->inconclusive-->inconclusive-->inconclusive,3,3
634,14,20,"rgba(192,192,192,0.2)",moderate-->inconclusive-->moderate-->inconclusive-->inconclusive,moderate-->inconclusive-->moderate-->inconclusive-->inconclusive,1,3
635,15,17,"rgba(0,0,255,0.2)",moderate-->inconclusive-->severe-->no_symptoms-->inconclusive,moderate-->inconclusive-->severe-->no_symptoms-->inconclusive,1,3
636,16,20,"rgba(192,192,192,0.2)",moderate-->inconclusive-->inconclusive-->inconclusive-->inconclusive,moderate-->inconclusive-->inconclusive-->inconclusive-->inconclusive,32,3
637,13,17,"rgba(0,0,255,0.2)",severe-->mild-->mild-->no_symptoms-->mild,severe-->mild-->mild-->no_symptoms-->mild,5,3
638,14,17,"rgba(0,0,255,0.2)",severe-->mild-->moderate-->no_symptoms-->moderate,severe-->mild-->moderate-->no_symptoms-->moderate,8,3
639,14,18,"rgba(255,128,0,0.2)",severe-->mild-->moderate-->followup_sensitivity-->moderate,severe-->mild-->moderate-->followup_sensitivity-->moderate,1,3
640,15,17,"rgba(0,0,255,0.2)",severe-->mild-->severe-->no_symptoms-->moderate,severe-->mild-->severe-->no_symptoms-->moderate,8,3
641,15,17,"rgba(0,0,255,0.2)",severe-->mild-->severe-->no_symptoms-->severe,severe-->mild-->severe-->no_symptoms-->severe,1,3
642,15,18,"rgba(255,128,0,0.2)",severe-->mild-->severe-->followup_sensitivity-->moderate,severe-->mild-->severe-->followup_sensitivity-->moderate,2,3
643,15,19,"rgba(255,0,0,0.2)",severe-->mild-->severe-->followup_efficiency-->moderate,severe-->mild-->severe-->followup_efficiency-->moderate,1,3
644,15,20,"rgba(192,192,192,0.2)",severe-->mild-->severe-->inconclusive-->inconclusive,severe-->mild-->severe-->inconclusive-->inconclusive,1,3
645,16,20,"rgba(192,192,192,0.2)",severe-->mild-->inconclusive-->inconclusive-->inconclusive,severe-->mild-->inconclusive-->inconclusive-->inconclusive,1,3
646,13,17,"rgba(0,0,255,0.2)",severe-->moderate-->mild-->no_symptoms-->moderate,severe-->moderate-->mild-->no_symptoms-->moderate,11,3
647,13,18,"rgba(255,128,0,0.2)",severe-->moderate-->mild-->followup_sensitivity-->moderate,severe-->moderate-->mild-->followup_sensitivity-->moderate,1,3
648,14,17,"rgba(0,0,255,0.2)",severe-->moderate-->moderate-->no_symptoms-->moderate,severe-->moderate-->moderate-->no_symptoms-->moderate,27,3
649,14,18,"rgba(255,128,0,0.2)",severe-->moderate-->moderate-->followup_sensitivity-->moderate,severe-->moderate-->moderate-->followup_sensitivity-->moderate,6,3
650,14,19,"rgba(255,0,0,0.2)",severe-->moderate-->moderate-->followup_efficiency-->moderate,severe-->moderate-->moderate-->followup_efficiency-->moderate,9,3
651,14,20,"rgba(192,192,192,0.2)",severe-->moderate-->moderate-->inconclusive-->inconclusive,severe-->moderate-->moderate-->inconclusive-->inconclusive,2,3
652,15,17,"rgba(0,0,255,0.2)",severe-->moderate-->severe-->no_symptoms-->moderate,severe-->moderate-->severe-->no_symptoms-->moderate,34,3
653,15,17,"rgba(0,0,255,0.2)",severe-->moderate-->severe-->no_symptoms-->severe,severe-->moderate-->severe-->no_symptoms-->severe,4,3
654,15,18,"rgba(255,128,0,0.2)",severe-->moderate-->severe-->followup_sensitivity-->moderate,severe-->moderate-->severe-->followup_sensitivity-->moderate,9,3
655,15,18,"rgba(255,128,0,0.2)",severe-->moderate-->severe-->followup_sensitivity-->severe,severe-->moderate-->severe-->followup_sensitivity-->severe,1,3
656,15,19,"rgba(255,0,0,0.2)",severe-->moderate-->severe-->followup_efficiency-->moderate,severe-->moderate-->severe-->followup_efficiency-->moderate,9,3
657,15,19,"rgba(255,0,0,0.2)",severe-->moderate-->severe-->followup_efficiency-->severe,severe-->moderate-->severe-->followup_efficiency-->severe,4,3
658,15,20,"rgba(192,192,192,0.2)",severe-->moderate-->severe-->inconclusive-->inconclusive,severe-->moderate-->severe-->inconclusive-->inconclusive,2,3
659,16,20,"rgba(192,192,192,0.2)",severe-->moderate-->inconclusive-->inconclusive-->inconclusive,severe-->moderate-->inconclusive-->inconclusive-->inconclusive,2,3
660,13,17,"rgba(0,0,255,0.2)",severe-->moderately_severe-->mild-->no_symptoms-->moderate,severe-->moderately_severe-->mild-->no_symptoms-->moderate,6,3
661,13,18,"rgba(255,128,0,0.2)",severe-->moderately_severe-->mild-->followup_sensitivity-->moderate,severe-->moderately_severe-->mild-->followup_sensitivity-->moderate,1,3
662,14,17,"rgba(0,0,255,0.2)",severe-->moderately_severe-->moderate-->no_symptoms-->moderate,severe-->moderately_severe-->moderate-->no_symptoms-->moderate,33,3
663,14,18,"rgba(255,128,0,0.2)",severe-->moderately_severe-->moderate-->followup_sensitivity-->moderate,severe-->moderately_severe-->moderate-->followup_sensitivity-->moderate,10,3
664,14,19,"rgba(255,0,0,0.2)",severe-->moderately_severe-->moderate-->followup_efficiency-->moderate,severe-->moderately_severe-->moderate-->followup_efficiency-->moderate,12,3
665,14,20,"rgba(192,192,192,0.2)",severe-->moderately_severe-->moderate-->inconclusive-->inconclusive,severe-->moderately_severe-->moderate-->inconclusive-->inconclusive,2,3
666,15,17,"rgba(0,0,255,0.2)",severe-->moderately_severe-->severe-->no_symptoms-->moderate,severe-->moderately_severe-->severe-->no_symptoms-->moderate,38,3
667,15,17,"rgba(0,0,255,0.2)",severe-->moderately_severe-->severe-->no_symptoms-->severe,severe-->moderately_severe-->severe-->no_symptoms-->severe,11,3
668,15,18,"rgba(255,128,0,0.2)",severe-->moderately_severe-->severe-->followup_sensitivity-->moderate,severe-->moderately_severe-->severe-->followup_sensitivity-->moderate,22,3
669,15,18,"rgba(255,128,0,0.2)",severe-->moderately_severe-->severe-->followup_sensitivity-->severe,severe-->moderately_severe-->severe-->followup_sensitivity-->severe,5,3
670,15,19,"rgba(255,0,0,0.2)",severe-->moderately_severe-->severe-->followup_efficiency-->moderate,severe-->moderately_severe-->severe-->followup_efficiency-->moderate,26,3
671,15,19,"rgba(255,0,0,0.2)",severe-->moderately_severe-->severe-->followup_efficiency-->severe,severe-->moderately_severe-->severe-->followup_efficiency-->severe,11,3
