,source,target,color,path,label,value,level
261,3,8,"rgba(255,128,0,0.2)",moderate-->moderate-->severe-->no_symptoms-->moderate,moderate,29,1
262,3,8,"rgba(255,128,0,0.2)",moderate-->moderate-->severe-->no_symptoms-->severe,severe,3,1
263,3,8,"rgba(255,128,0,0.2)",moderate-->moderate-->severe-->followup_sensitivity-->moderate,moderate,15,1
264,3,8,"rgba(255,128,0,0.2)",moderate-->moderate-->severe-->followup_sensitivity-->severe,severe,4,1
265,3,8,"rgba(255,128,0,0.2)",moderate-->moderate-->severe-->followup_efficiency-->moderate,moderate,15,1
266,3,8,"rgba(255,128,0,0.2)",moderate-->moderate-->severe-->followup_efficiency-->severe,severe,1,1
267,3,8,"rgba(255,128,0,0.2)",moderate-->moderate-->inconclusive-->inconclusive-->inconclusive,inconclusive,11,1
268,3,9,"rgba(204,0,102,0.2)",moderate-->moderately_severe-->no_symptoms-->no_symptoms-->moderate,moderate,1,1
269,3,9,"rgba(204,0,102,0.2)",moderate-->moderately_severe-->no_symptoms-->inconclusive-->inconclusive,inconclusive,1,1
270,3,9,"rgba(204,0,102,0.2)",moderate-->moderately_severe-->mild-->no_symptoms-->moderate,moderate,25,1
271,3,9,"rgba(204,0,102,0.2)",moderate-->moderately_severe-->mild-->followup_sensitivity-->moderate,moderate,3,1
272,3,9,"rgba(204,0,102,0.2)",moderate-->moderately_severe-->mild-->followup_efficiency-->moderate,moderate,1,1
273,3,9,"rgba(204,0,102,0.2)",moderate-->moderately_severe-->moderate-->no_symptoms-->moderate,moderate,21,1
274,3,9,"rgba(204,0,102,0.2)",moderate-->moderately_severe-->moderate-->followup_sensitivity-->moderate,moderate,14,1
275,3,9,"rgba(204,0,102,0.2)",moderate-->moderately_severe-->moderate-->followup_efficiency-->moderate,moderate,16,1
276,3,9,"rgba(204,0,102,0.2)",moderate-->moderately_severe-->moderate-->inconclusive-->inconclusive,inconclusive,1,1
277,3,9,"rgba(204,0,102,0.2)",moderate-->moderately_severe-->severe-->no_symptoms-->moderate,moderate,9,1
278,3,9,"rgba(204,0,102,0.2)",moderate-->moderately_severe-->severe-->no_symptoms-->severe,severe,1,1
279,3,9,"rgba(204,0,102,0.2)",moderate-->moderately_severe-->severe-->followup_sensitivity-->moderate,moderate,2,1
280,3,9,"rgba(204,0,102,0.2)",moderate-->moderately_severe-->severe-->followup_sensitivity-->severe,severe,1,1
281,3,9,"rgba(204,0,102,0.2)",moderate-->moderately_severe-->severe-->followup_efficiency-->moderate,moderate,11,1
282,3,9,"rgba(204,0,102,0.2)",moderate-->moderately_severe-->inconclusive-->inconclusive-->inconclusive,inconclusive,5,1
283,3,10,"rgba(255,0,0,0.2)",moderate-->severe-->no_symptoms-->no_symptoms-->severe,severe,1,1
284,3,10,"rgba(255,0,0,0.2)",moderate-->severe-->mild-->no_symptoms-->severe,severe,1,1
285,3,10,"rgba(255,0,0,0.2)",moderate-->severe-->mild-->followup_efficiency-->severe,severe,1,1
286,3,10,"rgba(255,0,0,0.2)",moderate-->severe-->moderate-->no_symptoms-->severe,severe,4,1
287,3,10,"rgba(255,0,0,0.2)",moderate-->severe-->moderate-->followup_sensitivity-->severe,severe,2,1
288,3,10,"rgba(255,0,0,0.2)",moderate-->severe-->severe-->no_symptoms-->severe,severe,2,1
289,3,10,"rgba(255,0,0,0.2)",moderate-->severe-->severe-->followup_sensitivity-->severe,severe,1,1
290,3,10,"rgba(255,0,0,0.2)",moderate-->severe-->severe-->followup_efficiency-->severe,severe,1,1
291,3,10,"rgba(255,0,0,0.2)",moderate-->severe-->inconclusive-->inconclusive-->inconclusive,inconclusive,3,1
292,3,11,"rgba(192,192,192,0.2)",moderate-->inconclusive-->moderate-->inconclusive-->inconclusive,inconclusive,1,1
